P			T(ns)		T(точки)	n	N		Exposition(ms)	Ch1		Ch2		SS	Temp
0.004923699059053257	7050.000	5440.000	100.000	17137.000	3918.000	17400.000	195938.000	263.000	0.230
0.006085165211847443	7150.000	5520.000	100.000	14386.000	3289.000	14616.000	164495.000	230.000	0.230
0.004544273033654766	7250.000	5600.000	100.000	18338.000	4239.000	18614.000	211982.000	276.000	0.230
0.004122985169604119	7350.000	5680.000	100.000	19926.000	4596.000	20214.000	229845.000	288.000	0.230
0.004163359169439584	7450.000	5760.000	100.000	19676.000	4506.000	19965.000	225340.000	289.000	0.230
0.005200336096037826	7550.000	5840.000	100.000	16172.000	3700.000	16438.000	185010.000	266.000	0.230
0.004719685627471497	7650.000	5920.000	100.000	17806.000	4082.000	18073.000	204107.000	267.000	0.230
0.0037942134480706637	7750.000	6000.000	100.000	20838.000	4776.000	21157.000	238811.000	319.000	0.230
0.004296445743807602	7850.000	6080.000	100.000	19366.000	4469.000	19643.000	223461.000	277.000	0.230
0.004142416360611582	7950.000	6160.000	100.000	20070.000	4614.000	20347.000	230748.000	277.000	0.230
0.002778397162641535	8050.000	6240.000	100.000	26999.000	6223.000	27362.000	311187.000	363.000	0.230
0.0035027151281126394	8150.000	6320.000	100.000	21957.000	5136.000	22304.000	256828.000	347.000	0.230
0.0034608465482079058	8250.000	6400.000	100.000	22674.000	5192.000	22999.000	259643.000	325.000	0.230
0.004356406928946816	8350.000	6480.000	100.000	19322.000	4488.000	19590.000	224440.000	268.000	0.230
0.003025160261069073	8450.000	6560.000	100.000	26275.000	6058.000	26591.000	302936.000	316.000	0.230
0.0033174574609742004	8550.000	6640.000	100.000	23984.000	5503.000	24298.000	275161.000	314.000	0.230
0.0026504730799933006	8650.000	6720.000	100.000	27437.000	6382.000	27827.000	319117.000	390.000	0.230
0.003123813334900148	8750.000	6800.000	100.000	24844.000	5644.000	25176.000	282249.000	332.000	0.230
0.00354027397432528	8850.000	6880.000	100.000	22450.000	5153.000	22765.000	257662.000	315.000	0.230
0.0033737228235288528	8950.000	6960.000	100.000	23474.000	5411.000	23793.000	270566.000	319.000	0.230
0.0030433916660264865	9050.000	7040.000	100.000	25511.000	5895.000	25847.000	294768.000	336.000	0.230
0.004093482438296315	9150.000	7120.000	100.000	19857.000	4598.000	20155.000	229931.000	298.000	0.230
0.00318524988536106	9250.000	7200.000	100.000	25115.000	5850.000	25428.000	292557.000	313.000	0.230
0.003101483937929296	9350.000	7280.000	100.000	25319.000	5835.000	25645.000	291791.000	326.000	0.230
0.0025859505906509787	9450.000	7360.000	100.000	29264.000	6720.000	29619.000	336043.000	355.000	0.230
0.002951233388956844	9550.000	7440.000	100.000	26332.000	6102.000	26668.000	305151.000	336.000	0.230
0.0029167760596497455	9650.000	7520.000	100.000	26086.000	5975.000	26436.000	298804.000	350.000	0.230
0.0033001553282547124	9750.000	7600.000	100.000	24202.000	5581.000	24514.000	279091.000	312.000	0.230
0.0020312093198941905	9850.000	7680.000	100.000	33883.000	7806.000	34311.000	390357.000	428.000	0.230
0.002454113101386347	9950.000	7760.000	100.000	30628.000	7025.000	30988.000	351270.000	360.000	0.230
0.002561852144500069	10050.000	7840.000	100.000	29852.000	6941.000	30202.000	347108.000	350.000	0.230
0.001839588300826239	10150.000	7920.000	100.000	38127.000	8729.000	38539.000	436480.000	412.000	0.230
0.0022497579109248067	10250.000	8000.000	100.000	32044.000	7391.000	32438.000	369606.000	394.000	0.230
0.002046599209521097	10350.000	8080.000	100.000	34638.000	7927.000	35042.000	396369.000	404.000	0.230
0.0017915903292571136	10450.000	8160.000	100.000	37940.000	8742.000	38377.000	437158.000	437.000	0.230
0.002231040787411434	10550.000	8240.000	100.000	31930.000	7387.000	32334.000	369404.000	404.000	0.230
0.002048569944089348	10650.000	8320.000	100.000	35162.000	8095.000	35556.000	404783.000	394.000	0.230
