P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2
0.269	850.000		960.000		1000.000	3715.000	330.000		5318.000	33047.000
0.266	950.000		1120.000	1000.000	3759.000	344.000		5350.000	34453.000
0.250	1050.000	1280.000	1000.000	3995.000	351.000		5519.000	35150.000
0.249	1150.000	1440.000	1000.000	4012.000	359.000		5525.000	36001.000
0.210	1250.000	1600.000	1000.000	4757.000	426.000		6311.000	42661.000
0.212	1350.000	1760.000	1000.000	4728.000	426.000		6298.000	42671.000
0.198	1450.000	1920.000	1000.000	5040.000	464.000		6589.000	46405.000
0.193	1550.000	2080.000	1000.000	5172.000	461.000		6698.000	46113.000
0.177	1650.000	2240.000	1000.000	5651.000	487.000		7187.000	48771.000
0.167	1750.000	2400.000	1000.000	5974.000	537.000		7552.000	53785.000
0.162	1850.000	2560.000	1000.000	6177.000	553.000		7679.000	55345.000
0.151	1950.000	2720.000	1000.000	6609.000	592.000		8127.000	59302.000
0.137	2050.000	2880.000	1000.000	7291.000	657.000		8845.000	65773.000
0.133	2150.000	3040.000	1000.000	7517.000	665.000		9072.000	66523.000
0.126	2250.000	3200.000	1000.000	7934.000	705.000		9495.000	70587.000
0.123	2350.000	3360.000	1000.000	8144.000	733.000		9745.000	73390.000
0.110	2450.000	3520.000	1000.000	9083.000	824.000		10664.000	82481.000
0.114	2550.000	3680.000	1000.000	8741.000	788.000		10307.000	78826.000
0.102	2650.000	3840.000	1000.000	9839.000	877.000		11457.000	87707.000
0.095	2750.000	4000.000	1000.000	10544.000	949.000		12188.000	94913.000
0.094	2850.000	4160.000	1000.000	10678.000	964.000		12306.000	96472.000
0.087	2950.000	4320.000	1000.000	11482.000	1048.000	13093.000	104826.000
0.082	3050.000	4480.000	1000.000	12234.000	1109.000	13859.000	110911.000
0.082	3150.000	4640.000	1000.000	12238.000	1111.000	13846.000	111170.000
0.078	3250.000	4800.000	1000.000	12847.000	1172.000	14473.000	117247.000
0.073	3350.000	4960.000	1000.000	13766.000	1239.000	15376.000	123932.000
0.068	3450.000	5120.000	1000.000	14653.000	1318.000	16336.000	131813.000
0.066	3550.000	5280.000	1000.000	15227.000	1381.000	16905.000	138182.000
0.061	3650.000	5440.000	1000.000	16284.000	1487.000	17996.000	148784.000
0.058	3750.000	5600.000	1000.000	17264.000	1584.000	18965.000	158442.000
0.060	3850.000	5760.000	1000.000	16744.000	1536.000	18427.000	153700.000
0.055	3950.000	5920.000	1000.000	18057.000	1626.000	19756.000	162702.000
0.054	4050.000	6080.000	1000.000	18582.000	1678.000	20286.000	167839.000
0.050	4150.000	6240.000	1000.000	19965.000	1817.000	21677.000	181715.000
0.049	4250.000	6400.000	1000.000	20576.000	1862.000	22273.000	186223.000
0.048	4350.000	6560.000	1000.000	21005.000	1889.000	22747.000	188932.000
0.043	4450.000	6720.000	1000.000	23070.000	2075.000	24842.000	207585.000
0.042	4550.000	6880.000	1000.000	23777.000	2152.000	25472.000	215211.000
0.041	4650.000	7040.000	1000.000	24327.000	2220.000	26108.000	222041.000
0.041	4750.000	7200.000	1000.000	24352.000	2221.000	26124.000	222155.000
0.037	4850.000	7360.000	1000.000	27091.000	2465.000	28874.000	246584.000
0.037	4950.000	7520.000	1000.000	27307.000	2465.000	29079.000	246529.000
0.035	5050.000	7680.000	1000.000	28652.000	2585.000	30426.000	258530.000
0.033	5150.000	7840.000	1000.000	29865.000	2729.000	31724.000	272918.000
0.032	5250.000	8000.000	1000.000	30999.000	2818.000	32733.000	281809.000
0.030	5350.000	8160.000	1000.000	32797.000	2965.000	34618.000	296513.000
