P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2
0.279	850.000		960.000		1000.000	3589.000	315.000		5199.000	31541.000
0.276	950.000		1120.000	1000.000	3621.000	325.000		5182.000	32530.000
0.263	1050.000	1280.000	1000.000	3798.000	338.000		5349.000	33811.000
0.237	1150.000	1440.000	1000.000	4215.000	374.000		5779.000	37434.000
0.228	1250.000	1600.000	1000.000	4391.000	398.000		5936.000	39842.000
0.217	1350.000	1760.000	1000.000	4608.000	407.000		6144.000	40751.000
0.202	1450.000	1920.000	1000.000	4944.000	444.000		6484.000	44478.000
0.185	1550.000	2080.000	1000.000	5400.000	482.000		6987.000	48268.000
0.184	1650.000	2240.000	1000.000	5429.000	483.000		6965.000	48353.000
0.171	1750.000	2400.000	1000.000	5847.000	515.000		7389.000	51548.000
0.165	1850.000	2560.000	1000.000	6051.000	536.000		7577.000	53629.000
0.147	1950.000	2720.000	1000.000	6780.000	597.000		8318.000	59771.000
0.141	2050.000	2880.000	1000.000	7086.000	627.000		8651.000	62783.000
0.135	2150.000	3040.000	1000.000	7387.000	677.000		8999.000	67713.000
0.130	2250.000	3200.000	1000.000	7675.000	680.000		9253.000	68057.000
0.126	2350.000	3360.000	1000.000	7911.000	705.000		9469.000	70517.000
0.114	2450.000	3520.000	1000.000	8768.000	788.000		10419.000	78873.000
0.112	2550.000	3680.000	1000.000	8903.000	790.000		10462.000	79050.000
0.112	2650.000	3840.000	1000.000	8963.000	796.000		10568.000	79621.000
0.095	2750.000	4000.000	1000.000	10520.000	945.000		12119.000	94599.000
0.102	2850.000	4160.000	1000.000	9807.000	884.000		11399.000	88486.000
0.093	2950.000	4320.000	1000.000	10789.000	970.000		12398.000	97096.000
0.092	3050.000	4480.000	1000.000	10926.000	983.000		12553.000	98379.000
0.087	3150.000	4640.000	1000.000	11486.000	1025.000	13073.000	102536.000
0.086	3250.000	4800.000	1000.000	11624.000	1050.000	13210.000	105096.000
0.078	3350.000	4960.000	1000.000	12893.000	1149.000	14505.000	114976.000
0.075	3450.000	5120.000	1000.000	13313.000	1194.000	14977.000	119467.000
0.069	3550.000	5280.000	1000.000	14502.000	1305.000	16165.000	130505.000
0.064	3650.000	5440.000	1000.000	15693.000	1394.000	17384.000	139414.000
0.064	3750.000	5600.000	1000.000	15578.000	1397.000	17239.000	139705.000
0.065	3850.000	5760.000	1000.000	15468.000	1384.000	17085.000	138405.000
0.056	3950.000	5920.000	1000.000	17838.000	1592.000	19563.000	159272.000
0.055	4050.000	6080.000	1000.000	18180.000	1654.000	19893.000	165469.000
