P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2
0.305	850.000		960.000		1000.000	3284.000	277.000		4960.000	27800.000
0.309	950.000		1120.000	1000.000	3235.000	284.000		4732.000	28495.000
0.273	1050.000	1280.000	1000.000	3658.000	316.000		5184.000	31626.000
0.260	1150.000	1440.000	1000.000	3852.000	326.000		5358.000	32653.000
0.241	1250.000	1600.000	1000.000	4151.000	358.000		5684.000	35861.000
0.231	1350.000	1760.000	1000.000	4323.000	363.000		5839.000	36379.000
0.216	1450.000	1920.000	1000.000	4640.000	397.000		6208.000	39735.000
0.206	1550.000	2080.000	1000.000	4859.000	420.000		6328.000	42008.000
0.193	1650.000	2240.000	1000.000	5171.000	440.000		6693.000	44089.000
0.176	1750.000	2400.000	1000.000	5669.000	490.000		7231.000	49005.000
0.182	1850.000	2560.000	1000.000	5502.000	482.000		7054.000	48246.000
0.160	1950.000	2720.000	1000.000	6251.000	540.000		7834.000	54077.000
0.174	2050.000	2880.000	1000.000	5756.000	1359.000	7241.000	135963.000
0.152	2150.000	3040.000	1000.000	6582.000	561.000		8137.000	56169.000
0.151	2250.000	3200.000	1000.000	6631.000	555.000		8162.000	55600.000
0.135	2350.000	3360.000	1000.000	7393.000	637.000		8966.000	63794.000
0.131	2450.000	3520.000	1000.000	7621.000	660.000		9192.000	66004.000
0.127	2550.000	3680.000	1000.000	7862.000	663.000		9419.000	66357.000
0.123	2650.000	3840.000	1000.000	8106.000	695.000		9657.000	69602.000
0.112	2750.000	4000.000	1000.000	8956.000	780.000		10548.000	78045.000
0.105	2850.000	4160.000	1000.000	9504.000	826.000		11137.000	82686.000
0.106	2950.000	4320.000	1000.000	9421.000	813.000		11074.000	81366.000
0.100	3050.000	4480.000	1000.000	9954.000	875.000		11560.000	87588.000
0.099	3150.000	4640.000	1000.000	10105.000	871.000		11701.000	87117.000
0.088	3250.000	4800.000	1000.000	11420.000	987.000		13060.000	98759.000
0.092	3350.000	4960.000	1000.000	10867.000	932.000		12398.000	93245.000
0.081	3450.000	5120.000	1000.000	12401.000	1068.000	14074.000	106830.000
0.077	3550.000	5280.000	1000.000	12910.000	1112.000	14601.000	111229.000
0.076	3650.000	5440.000	1000.000	13146.000	1145.000	14770.000	114551.000
0.073	3750.000	5600.000	1000.000	13632.000	1187.000	15311.000	118782.000
0.067	3850.000	5760.000	1000.000	14983.000	1295.000	16686.000	129588.000
0.067	3950.000	5920.000	1000.000	14897.000	1296.000	16537.000	129636.000
0.065	4050.000	6080.000	1000.000	15374.000	1365.000	17067.000	136548.000
0.060	4150.000	6240.000	1000.000	16672.000	1456.000	18372.000	145666.000
0.059	4250.000	6400.000	1000.000	17013.000	1475.000	18685.000	147565.000
0.059	4350.000	6560.000	1000.000	16854.000	1490.000	18490.000	149103.000
0.053	4450.000	6720.000	1000.000	18730.000	1621.000	20431.000	162125.000
0.053	4550.000	6880.000	1000.000	18725.000	1630.000	20431.000	163005.000
0.046	4650.000	7040.000	1000.000	21618.000	1892.000	23405.000	189284.000
0.051	4750.000	7200.000	1000.000	19547.000	1716.000	21246.000	171644.000
0.046	4850.000	7360.000	1000.000	21939.000	1908.000	23687.000	190878.000
0.045	4950.000	7520.000	1000.000	22423.000	1952.000	24120.000	195265.000
0.044	5050.000	7680.000	1000.000	22677.000	1990.000	24413.000	199057.000
0.040	5150.000	7840.000	1000.000	25145.000	2236.000	26951.000	223701.000
0.039	5250.000	8000.000	1000.000	25736.000	2292.000	27522.000	229234.000
0.039	5350.000	8160.000	1000.000	25688.000	2232.000	27474.000	223243.000
0.037	5450.000	8320.000	1000.000	26964.000	2379.000	28760.000	237964.000
0.034	5550.000	8480.000	1000.000	29611.000	2601.000	31441.000	260114.000
0.034	5650.000	8640.000	1000.000	29188.000	2584.000	31011.000	258463.000
0.034	5750.000	8800.000	1000.000	29513.000	2592.000	31294.000	259259.000
0.030	5850.000	8960.000	1000.000	33612.000	2968.000	35528.000	296883.000
0.031	5950.000	9120.000	1000.000	32786.000	2912.000	34664.000	291283.000
0.030	6050.000	9280.000	1000.000	33270.000	2940.000	35110.000	294082.000
0.029	6150.000	9440.000	1000.000	34249.000	3025.000	36096.000	302591.000
0.026	6250.000	9600.000	1000.000	38869.000	3428.000	40779.000	342858.000
0.025	6350.000	9760.000	1000.000	39305.000	3474.000	41210.000	347436.000
0.025	6450.000	9920.000	1000.000	40189.000	3557.000	42101.000	355796.000
0.025	6550.000	10080.000	1000.000	39322.000	3472.000	41190.000	347241.000
0.023	6650.000	10240.000	1000.000	42931.000	3789.000	44934.000	378938.000
0.023	6750.000	10400.000	1000.000	44011.000	3889.000	45953.000	388978.000
0.023	6850.000	10560.000	1000.000	44146.000	3957.000	46139.000	395719.000
