P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2
0.252	850.000		960.000		1000.000	3971.000	366.000		5630.000	36696.000
0.267	950.000		1120.000	1000.000	3743.000	340.000		5293.000	34090.000
0.246	1050.000	1280.000	1000.000	4072.000	363.000		5611.000	36355.000
0.216	1150.000	1440.000	1000.000	4622.000	420.000		6146.000	42069.000
0.214	1250.000	1600.000	1000.000	4671.000	429.000		6199.000	42985.000
0.197	1350.000	1760.000	1000.000	5070.000	461.000		6610.000	46122.000
0.179	1450.000	1920.000	1000.000	5596.000	506.000		7155.000	50669.000
0.174	1550.000	2080.000	1000.000	5750.000	512.000		7263.000	51272.000
0.162	1650.000	2240.000	1000.000	6188.000	576.000		7763.000	57618.000
0.152	1750.000	2400.000	1000.000	6584.000	604.000		8173.000	60461.000
0.150	1850.000	2560.000	1000.000	6683.000	609.000		8237.000	60938.000
0.143	1950.000	2720.000	1000.000	6993.000	628.000		8527.000	62842.000
0.131	2050.000	2880.000	1000.000	7655.000	682.000		9189.000	68255.000
0.133	2150.000	3040.000	1000.000	7545.000	681.000		9102.000	68147.000
0.116	2250.000	3200.000	1000.000	8634.000	794.000		10212.000	79498.000
0.117	2350.000	3360.000	1000.000	8542.000	772.000		10124.000	77254.000
0.107	2450.000	3520.000	1000.000	9371.000	839.000		10937.000	83954.000
0.098	2550.000	3680.000	1000.000	10189.000	912.000		11804.000	91206.000
0.092	2650.000	3840.000	1000.000	10858.000	986.000		12439.000	98606.000
0.087	2750.000	4000.000	1000.000	11484.000	1049.000	13076.000	104925.000
0.087	2850.000	4160.000	1000.000	11461.000	1026.000	13053.000	102658.000
0.080	2950.000	4320.000	1000.000	12458.000	1140.000	14090.000	114098.000
0.077	3050.000	4480.000	1000.000	12932.000	1183.000	14560.000	118316.000
0.071	3150.000	4640.000	1000.000	14124.000	1275.000	15818.000	127546.000
0.069	3250.000	4800.000	1000.000	14511.000	1323.000	16159.000	132403.000
0.067	3350.000	4960.000	1000.000	15007.000	1367.000	16650.000	136785.000
0.064	3450.000	5120.000	1000.000	15673.000	1428.000	17341.000	142818.000
0.061	3550.000	5280.000	1000.000	16525.000	1506.000	18191.000	150683.000
0.056	3650.000	5440.000	1000.000	17961.000	1623.000	19681.000	162327.000
0.056	3750.000	5600.000	1000.000	17927.000	1648.000	19552.000	164843.000
0.050	3850.000	5760.000	1000.000	19823.000	1824.000	21567.000	182408.000
0.051	3950.000	5920.000	1000.000	19589.000	1801.000	21262.000	180184.000
0.048	4050.000	6080.000	1000.000	21008.000	1902.000	22723.000	190266.000
0.045	4150.000	6240.000	1000.000	22422.000	2033.000	24107.000	203395.000
