P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2
0.264	850.000		960.000		1000.000	3787.000	346.000		5329.000	34643.000
0.256	950.000		1120.000	1000.000	3901.000	346.000		5422.000	34607.000
0.250	1050.000	1280.000	1000.000	3998.000	357.000		5496.000	35794.000
0.225	1150.000	1440.000	1000.000	4442.000	404.000		5990.000	40458.000
0.214	1250.000	1600.000	1000.000	4672.000	417.000		6207.000	41758.000
0.208	1350.000	1760.000	1000.000	4812.000	430.000		6333.000	43025.000
0.186	1450.000	1920.000	1000.000	5370.000	491.000		6918.000	49189.000
0.183	1550.000	2080.000	1000.000	5473.000	505.000		7005.000	50594.000
0.159	1650.000	2240.000	1000.000	6277.000	567.000		7838.000	56757.000
0.152	1750.000	2400.000	1000.000	6563.000	596.000		8128.000	59688.000
0.149	1850.000	2560.000	1000.000	6726.000	617.000		8260.000	61723.000
0.141	1950.000	2720.000	1000.000	7094.000	649.000		8690.000	64946.000
0.133	2050.000	2880.000	1000.000	7492.000	685.000		9066.000	68598.000
0.120	2150.000	3040.000	1000.000	8317.000	766.000		9908.000	76682.000
0.118	2250.000	3200.000	1000.000	8498.000	770.000		10075.000	77065.000
0.109	2350.000	3360.000	1000.000	9174.000	839.000		10751.000	83905.000
0.104	2450.000	3520.000	1000.000	9582.000	865.000		11170.000	86553.000
0.109	2550.000	3680.000	1000.000	9175.000	813.000		10658.000	81345.000
0.099	2650.000	3840.000	1000.000	10085.000	908.000		11640.000	90830.000
0.094	2750.000	4000.000	1000.000	10664.000	976.000		12260.000	97617.000
0.085	2850.000	4160.000	1000.000	11803.000	1074.000	13374.000	107404.000
0.079	2950.000	4320.000	1000.000	12690.000	1129.000	14258.000	112981.000
0.079	3050.000	4480.000	1000.000	12627.000	1159.000	14245.000	115924.000
0.072	3150.000	4640.000	1000.000	13822.000	1265.000	15460.000	126540.000
0.073	3250.000	4800.000	1000.000	13753.000	1239.000	15356.000	123996.000
0.067	3350.000	4960.000	1000.000	14898.000	1347.000	16480.000	134726.000
0.061	3450.000	5120.000	1000.000	16339.000	1503.000	18042.000	150305.000
0.061	3550.000	5280.000	1000.000	16521.000	1523.000	18176.000	152365.000
0.051	3650.000	5440.000	1000.000	19490.000	1791.000	21207.000	179203.000
0.054	3750.000	5600.000	1000.000	18413.000	1679.000	20093.000	167946.000
0.051	3850.000	5760.000	1000.000	19532.000	1764.000	21178.000	176419.000
0.052	3950.000	5920.000	1000.000	19183.000	1743.000	20839.000	174308.000
0.047	4050.000	6080.000	1000.000	21341.000	1947.000	23085.000	194790.000
0.044	4150.000	6240.000	1000.000	22514.000	2045.000	24228.000	204541.000
0.040	4250.000	6400.000	1000.000	25108.000	2307.000	26913.000	230709.000
0.039	4350.000	6560.000	1000.000	25867.000	2359.000	27620.000	235909.000
0.040	4450.000	6720.000	1000.000	25034.000	2302.000	26796.000	230243.000
0.038	4550.000	6880.000	1000.000	26462.000	2409.000	28244.000	240944.000
0.034	4650.000	7040.000	1000.000	28992.000	2651.000	30826.000	265109.000
0.033	4750.000	7200.000	1000.000	30146.000	2736.000	31998.000	273673.000
0.034	4850.000	7360.000	1000.000	29617.000	2689.000	31385.000	268982.000
0.033	4950.000	7520.000	1000.000	30334.000	2743.000	32118.000	274381.000
0.030	5050.000	7680.000	1000.000	33030.000	3016.000	34856.000	301707.000
0.029	5150.000	7840.000	1000.000	34635.000	3170.000	36524.000	317049.000
0.028	5250.000	8000.000	1000.000	36060.000	3344.000	37949.000	334480.000
0.026	5350.000	8160.000	1000.000	38302.000	3502.000	40259.000	350256.000
0.025	5450.000	8320.000	1000.000	40276.000	3679.000	42173.000	367969.000
0.024	5550.000	8480.000	1000.000	41171.000	3778.000	43142.000	377895.000
0.022	5650.000	8640.000	1000.000	44531.000	4039.000	46451.000	403975.000
0.022	5750.000	8800.000	1000.000	45854.000	4210.000	47891.000	421032.000
0.021	5850.000	8960.000	1000.000	47249.000	4329.000	49213.000	433008.000
0.022	5950.000	9120.000	1000.000	46155.000	4215.000	48152.000	421550.000
0.020	6050.000	9280.000	1000.000	49754.000	4551.000	51764.000	455127.000
0.020	6150.000	9440.000	1000.000	50047.000	4609.000	52058.000	461001.000
0.019	6250.000	9600.000	1000.000	53883.000	4871.000	55929.000	487190.000
0.019	6350.000	9760.000	1000.000	53082.000	4874.000	55157.000	487454.000
