P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2
0.270	850.000		960.000		1000.000	3698.000	330.000		5317.000	33023.000
0.266	950.000		1120.000	1000.000	3761.000	333.000		5309.000	33305.000
0.249	1050.000	1280.000	1000.000	4010.000	364.000		5553.000	36417.000
0.244	1150.000	1440.000	1000.000	4092.000	371.000		5563.000	37108.000
0.220	1250.000	1600.000	1000.000	4542.000	402.000		6051.000	40229.000
0.208	1350.000	1760.000	1000.000	4816.000	420.000		6335.000	42068.000
0.183	1450.000	1920.000	1000.000	5453.000	483.000		7051.000	48375.000
0.191	1550.000	2080.000	1000.000	5240.000	483.000		6739.000	48312.000
0.173	1650.000	2240.000	1000.000	5787.000	518.000		7338.000	51844.000
0.167	1750.000	2400.000	1000.000	5995.000	539.000		7583.000	53976.000
0.158	1850.000	2560.000	1000.000	6315.000	577.000		7887.000	57731.000
0.143	1950.000	2720.000	1000.000	7007.000	623.000		8580.000	62389.000
0.141	2050.000	2880.000	1000.000	7087.000	652.000		8677.000	65286.000
0.130	2150.000	3040.000	1000.000	7694.000	691.000		9279.000	69163.000
0.122	2250.000	3200.000	1000.000	8180.000	736.000		9752.000	73634.000
0.117	2350.000	3360.000	1000.000	8565.000	764.000		10134.000	76445.000
0.113	2450.000	3520.000	1000.000	8846.000	800.000		10437.000	80095.000
0.107	2550.000	3680.000	1000.000	9388.000	833.000		10975.000	83321.000
0.103	2650.000	3840.000	1000.000	9675.000	881.000		11265.000	88201.000
0.098	2750.000	4000.000	1000.000	10204.000	926.000		11767.000	92655.000
0.092	2850.000	4160.000	1000.000	10865.000	991.000		12468.000	99165.000
0.088	2950.000	4320.000	1000.000	11389.000	1037.000	13025.000	103757.000
0.079	3050.000	4480.000	1000.000	12671.000	1134.000	14325.000	113430.000
0.078	3150.000	4640.000	1000.000	12854.000	1165.000	14525.000	116561.000
0.076	3250.000	4800.000	1000.000	13171.000	1179.000	14796.000	117946.000
0.070	3350.000	4960.000	1000.000	14364.000	1286.000	15995.000	128643.000
0.071	3450.000	5120.000	1000.000	14056.000	1261.000	15691.000	126178.000
0.069	3550.000	5280.000	1000.000	14597.000	1319.000	16208.000	131998.000
0.061	3650.000	5440.000	1000.000	16308.000	1477.000	17965.000	147796.000
0.059	3750.000	5600.000	1000.000	17050.000	1553.000	18750.000	155319.000
0.055	3850.000	5760.000	1000.000	18345.000	1653.000	20050.000	165369.000
0.052	3950.000	5920.000	1000.000	19085.000	1716.000	20756.000	171652.000
0.050	4050.000	6080.000	1000.000	20053.000	1785.000	21762.000	178586.000
0.047	4150.000	6240.000	1000.000	21308.000	1963.000	23044.000	196395.000
0.050	4250.000	6400.000	1000.000	19870.000	1789.000	21563.000	178961.000
0.043	4350.000	6560.000	1000.000	23359.000	2139.000	25131.000	213979.000
0.046	4450.000	6720.000	1000.000	21590.000	1973.000	23280.000	197382.000
0.041	4550.000	6880.000	1000.000	24355.000	2195.000	26106.000	219576.000
0.041	4650.000	7040.000	1000.000	24291.000	2175.000	25984.000	217605.000
0.036	4750.000	7200.000	1000.000	27987.000	2548.000	29865.000	254843.000
0.037	4850.000	7360.000	1000.000	27377.000	2495.000	29181.000	249567.000
0.036	4950.000	7520.000	1000.000	28000.000	2550.000	29777.000	255020.000
0.035	5050.000	7680.000	1000.000	28903.000	2614.000	30747.000	261491.000
0.033	5150.000	7840.000	1000.000	30600.000	2803.000	32437.000	280383.000
0.031	5250.000	8000.000	1000.000	32308.000	2921.000	34146.000	292112.000
0.029	5350.000	8160.000	1000.000	34241.000	3112.000	36129.000	311229.000
0.029	5450.000	8320.000	1000.000	34378.000	3125.000	36236.000	312536.000
0.027	5550.000	8480.000	1000.000	37589.000	3440.000	39545.000	344049.000
0.025	5650.000	8640.000	1000.000	39541.000	3572.000	41459.000	357303.000
0.025	5750.000	8800.000	1000.000	39235.000	3582.000	41211.000	358224.000
0.025	5850.000	8960.000	1000.000	40084.000	3647.000	42006.000	364711.000
0.023	5950.000	9120.000	1000.000	43280.000	3941.000	45223.000	394209.000
0.023	6050.000	9280.000	1000.000	43876.000	3989.000	45862.000	398979.000
0.021	6150.000	9440.000	1000.000	47321.000	4285.000	49318.000	428510.000
0.021	6250.000	9600.000	1000.000	48755.000	4434.000	50790.000	443425.000
0.019	6350.000	9760.000	1000.000	52997.000	4850.000	55100.000	485099.000
0.019	6450.000	9920.000	1000.000	51412.000	4659.000	53434.000	465921.000
0.019	6550.000	10080.000	1000.000	52238.000	4767.000	54263.000	476800.000
0.018	6650.000	10240.000	1000.000	55105.000	5008.000	57176.000	500902.000
0.017	6750.000	10400.000	1000.000	60044.000	5456.000	62236.000	545653.000
0.018	6850.000	10560.000	1000.000	55936.000	5075.000	57978.000	507587.000
0.016	6950.000	10720.000	1000.000	61436.000	5619.000	63566.000	561914.000
0.015	7050.000	10880.000	1000.000	64807.000	5937.000	66973.000	593769.000
0.015	7150.000	11040.000	1000.000	66187.000	6023.000	68405.000	602348.000
0.015	7250.000	11200.000	1000.000	66289.000	6011.000	68500.000	601136.000
0.014	7350.000	11360.000	1000.000	70747.000	6431.000	72987.000	643161.000
0.014	7450.000	11520.000	1000.000	73812.000	6620.000	76039.000	662091.000
0.014	7550.000	11680.000	1000.000	73034.000	6688.000	75283.000	668837.000
0.012	7650.000	11840.000	1000.000	81461.000	7427.000	83822.000	742748.000
0.012	7750.000	12000.000	1000.000	83101.000	7581.000	85514.000	758141.000
0.012	7850.000	12160.000	1000.000	80844.000	7395.000	83136.000	739553.000
0.012	7950.000	12320.000	1000.000	85033.000	7737.000	87409.000	773725.000
0.011	8050.000	12480.000	1000.000	87966.000	8030.000	90387.000	803072.000
0.010	8150.000	12640.000	1000.000	98045.000	8932.000	100634.000	893225.000
0.010	8250.000	12800.000	1000.000	95636.000	8697.000	98114.000	869760.000
0.010	8350.000	12960.000	1000.000	96475.000	8732.000	98904.000	873240.000
0.010	8450.000	13120.000	1000.000	97854.000	8884.000	100314.000	888498.000
0.010	8550.000	13280.000	1000.000	100592.000	9123.000	103123.000	912405.000
0.009	8650.000	13440.000	1000.000	106821.000	9671.000	109536.000	967143.000
0.009	8750.000	13600.000	1000.000	105598.000	9579.000	108149.000	958012.000
0.010	8850.000	13760.000	1000.000	103501.000	9379.000	105948.000	938009.000
0.008	8950.000	13920.000	1000.000	118220.000	10733.000	121016.000	1073418.000
0.009	9050.000	14080.000	1000.000	116487.000	10591.000	119137.000	1059139.000
0.009	9150.000	14240.000	1000.000	117206.000	10577.000	119855.000	1057732.000
0.008	9250.000	14400.000	1000.000	124227.000	11263.000	127383.000	1126426.000
0.008	9350.000	14560.000	1000.000	122857.000	11202.000	126730.000	1120299.000
0.008	9450.000	14720.000	1000.000	130646.000	11925.000	134557.000	1192547.000
