P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2
0.279	850.000		960.000		1000.000	3585.000	313.000		5186.000	31351.000
0.278	950.000		1120.000	1000.000	3597.000	321.000		5130.000	32186.000
0.251	1050.000	1280.000	1000.000	3991.000	351.000		5514.000	35165.000
0.239	1150.000	1440.000	1000.000	4192.000	373.000		5706.000	37396.000
0.214	1250.000	1600.000	1000.000	4680.000	427.000		6207.000	42733.000
0.201	1350.000	1760.000	1000.000	4963.000	446.000		6478.000	44649.000
0.199	1450.000	1920.000	1000.000	5036.000	445.000		6551.000	44510.000
0.173	1550.000	2080.000	1000.000	5795.000	513.000		7351.000	51368.000
0.174	1650.000	2240.000	1000.000	5752.000	524.000		7293.000	52440.000
0.158	1750.000	2400.000	1000.000	6333.000	576.000		7888.000	57620.000
0.144	1850.000	2560.000	1000.000	6934.000	624.000		8541.000	62486.000
0.145	1950.000	2720.000	1000.000	6887.000	616.000		8422.000	61691.000
0.136	2050.000	2880.000	1000.000	7355.000	661.000		8905.000	66169.000
0.123	2150.000	3040.000	1000.000	8103.000	725.000		9683.000	72519.000
0.120	2250.000	3200.000	1000.000	8323.000	750.000		9878.000	75088.000
0.117	2350.000	3360.000	1000.000	8583.000	779.000		10196.000	77926.000
0.111	2450.000	3520.000	1000.000	9022.000	822.000		10617.000	82211.000
0.101	2550.000	3680.000	1000.000	9909.000	890.000		11525.000	89085.000
0.098	2650.000	3840.000	1000.000	10181.000	910.000		11770.000	91014.000
0.087	2750.000	4000.000	1000.000	11520.000	1049.000	13173.000	104973.000
0.083	2850.000	4160.000	1000.000	12092.000	1094.000	13755.000	109459.000
0.086	2950.000	4320.000	1000.000	11637.000	1058.000	13225.000	105854.000
0.079	3050.000	4480.000	1000.000	12601.000	1160.000	14219.000	116070.000
0.075	3150.000	4640.000	1000.000	13332.000	1220.000	15029.000	122024.000
0.067	3250.000	4800.000	1000.000	14914.000	1349.000	16590.000	134909.000
0.069	3350.000	4960.000	1000.000	14588.000	1349.000	16229.000	134911.000
0.065	3450.000	5120.000	1000.000	15410.000	1411.000	17024.000	141200.000
0.061	3550.000	5280.000	1000.000	16326.000	1477.000	18004.000	147776.000
0.059	3650.000	5440.000	1000.000	16957.000	1571.000	18649.000	157113.000
0.057	3750.000	5600.000	1000.000	17439.000	1585.000	19066.000	158602.000
0.055	3850.000	5760.000	1000.000	18057.000	1621.000	19672.000	162114.000
0.052	3950.000	5920.000	1000.000	19190.000	1747.000	20906.000	174746.000
0.046	4050.000	6080.000	1000.000	21928.000	1998.000	23643.000	199819.000
0.046	4150.000	6240.000	1000.000	21907.000	2004.000	23637.000	200468.000
0.043	4250.000	6400.000	1000.000	23373.000	2137.000	25146.000	213767.000
0.042	4350.000	6560.000	1000.000	23852.000	2174.000	25563.000	217444.000
0.041	4450.000	6720.000	1000.000	24663.000	2247.000	26399.000	224764.000
0.037	4550.000	6880.000	1000.000	27132.000	2486.000	28896.000	248627.000
0.035	4650.000	7040.000	1000.000	28270.000	2582.000	30098.000	258291.000
0.033	4750.000	7200.000	1000.000	29893.000	2744.000	31730.000	274469.000
0.031	4850.000	7360.000	1000.000	32251.000	2947.000	34135.000	294779.000
0.031	4950.000	7520.000	1000.000	32525.000	2983.000	34377.000	298403.000
0.030	5050.000	7680.000	1000.000	33306.000	3020.000	35137.000	302008.000
0.028	5150.000	7840.000	1000.000	35384.000	3243.000	37279.000	324402.000
0.027	5250.000	8000.000	1000.000	36895.000	3346.000	38761.000	334615.000
0.027	5350.000	8160.000	1000.000	37192.000	3413.000	39094.000	341376.000
0.026	5450.000	8320.000	1000.000	38279.000	3498.000	40191.000	349817.000
0.023	5550.000	8480.000	1000.000	43454.000	3998.000	45437.000	399822.000
0.024	5650.000	8640.000	1000.000	41938.000	3808.000	43876.000	380881.000
0.023	5750.000	8800.000	1000.000	44080.000	4026.000	46067.000	402637.000
0.022	5850.000	8960.000	1000.000	44767.000	4105.000	46763.000	410532.000
0.020	5950.000	9120.000	1000.000	49375.000	4502.000	51363.000	450227.000
0.021	6050.000	9280.000	1000.000	48060.000	4389.000	50068.000	438995.000
0.020	6150.000	9440.000	1000.000	50455.000	4632.000	52450.000	463216.000
0.018	6250.000	9600.000	1000.000	55793.000	5070.000	57875.000	507081.000
0.019	6350.000	9760.000	1000.000	51519.000	4711.000	53523.000	471120.000
0.017	6450.000	9920.000	1000.000	57205.000	5259.000	59338.000	525959.000
0.016	6550.000	10080.000	1000.000	61500.000	5646.000	63622.000	564629.000
0.016	6650.000	10240.000	1000.000	61553.000	5641.000	63661.000	564137.000
0.015	6750.000	10400.000	1000.000	66104.000	6021.000	68312.000	602204.000
0.015	6850.000	10560.000	1000.000	67613.000	6179.000	69862.000	617946.000
0.014	6950.000	10720.000	1000.000	69296.000	6355.000	71594.000	635595.000
0.014	7050.000	10880.000	1000.000	71501.000	6581.000	73753.000	658147.000
0.014	7150.000	11040.000	1000.000	71418.000	6527.000	73655.000	652769.000
0.013	7250.000	11200.000	1000.000	75419.000	6909.000	77732.000	690938.000
0.013	7350.000	11360.000	1000.000	77070.000	7089.000	79444.000	708998.000
0.012	7450.000	11520.000	1000.000	84282.000	7737.000	86698.000	773736.000
0.012	7550.000	11680.000	1000.000	82778.000	7610.000	85109.000	761074.000
0.011	7650.000	11840.000	1000.000	87525.000	8009.000	89961.000	800935.000
0.011	7750.000	12000.000	1000.000	88147.000	8076.000	90588.000	807717.000
0.011	7850.000	12160.000	1000.000	92284.000	8475.000	94663.000	847551.000
0.010	7950.000	12320.000	1000.000	100557.000	9244.000	103088.000	924473.000
0.010	8050.000	12480.000	1000.000	99618.000	9145.000	102195.000	914543.000
0.010	8150.000	12640.000	1000.000	103357.000	9489.000	105951.000	949005.000
0.009	8250.000	12800.000	1000.000	107214.000	9806.000	109826.000	980710.000
0.009	8350.000	12960.000	1000.000	105563.000	9695.000	108155.000	969611.000
0.009	8450.000	13120.000	1000.000	107681.000	9887.000	110198.000	988782.000
0.009	8550.000	13280.000	1000.000	111847.000	10264.000	114495.000	1026434.000
0.009	8650.000	13440.000	1000.000	110381.000	10162.000	112901.000	1016293.000
0.008	8750.000	13600.000	1000.000	121919.000	11183.000	124659.000	1118412.000
0.008	8850.000	13760.000	1000.000	118233.000	10847.000	120876.000	1084822.000
0.008	8950.000	13920.000	1000.000	127661.000	11683.000	130462.000	1168428.000
0.008	9050.000	14080.000	1000.000	129350.000	11855.000	132143.000	1185548.000
0.007	9150.000	14240.000	1000.000	134622.000	12359.000	137531.000	1235992.000
0.007	9250.000	14400.000	1000.000	138368.000	12655.000	141601.000	1265584.000
0.007	9350.000	14560.000	1000.000	141371.000	12981.000	145436.000	1298168.000
0.007	9450.000	14720.000	1000.000	140300.000	12887.000	144352.000	1288793.000
