P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2
0.281	850.000		960.000		1000.000	3558.000	320.000		5131.000	32094.000
0.257	950.000		1120.000	1000.000	3890.000	355.000		5418.000	35591.000
0.260	1050.000	1280.000	1000.000	3840.000	353.000		5324.000	35368.000
0.236	1150.000	1440.000	1000.000	4233.000	387.000		5704.000	38703.000
0.219	1250.000	1600.000	1000.000	4564.000	426.000		6106.000	42700.000
0.199	1350.000	1760.000	1000.000	5016.000	440.000		6586.000	44064.000
0.193	1450.000	1920.000	1000.000	5180.000	468.000		6750.000	46827.000
0.193	1550.000	2080.000	1000.000	5192.000	467.000		6656.000	46784.000
0.171	1650.000	2240.000	1000.000	5852.000	535.000		7409.000	53590.000
0.161	1750.000	2400.000	1000.000	6230.000	555.000		7766.000	55509.000
0.149	1850.000	2560.000	1000.000	6704.000	606.000		8231.000	60688.000
0.142	1950.000	2720.000	1000.000	7062.000	640.000		8683.000	64010.000
0.134	2050.000	2880.000	1000.000	7437.000	691.000		9035.000	69134.000
0.119	2150.000	3040.000	1000.000	8370.000	749.000		9940.000	74976.000
0.117	2250.000	3200.000	1000.000	8526.000	764.000		10060.000	76468.000
0.112	2350.000	3360.000	1000.000	8889.000	813.000		10464.000	81340.000
0.108	2450.000	3520.000	1000.000	9282.000	839.000		10861.000	83969.000
0.099	2550.000	3680.000	1000.000	10099.000	923.000		11708.000	92372.000
0.095	2650.000	3840.000	1000.000	10550.000	954.000		12192.000	95444.000
0.088	2750.000	4000.000	1000.000	11348.000	1026.000	12952.000	102641.000
0.087	2850.000	4160.000	1000.000	11546.000	1050.000	13176.000	105078.000
0.080	2950.000	4320.000	1000.000	12568.000	1135.000	14209.000	113554.000
0.081	3050.000	4480.000	1000.000	12419.000	1132.000	13995.000	113278.000
0.077	3150.000	4640.000	1000.000	12923.000	1175.000	14515.000	117564.000
0.071	3250.000	4800.000	1000.000	14104.000	1284.000	15691.000	128429.000
0.069	3350.000	4960.000	1000.000	14472.000	1321.000	16098.000	132192.000
0.068	3450.000	5120.000	1000.000	14769.000	1350.000	16391.000	135021.000
0.061	3550.000	5280.000	1000.000	16461.000	1512.000	18101.000	151238.000
0.059	3650.000	5440.000	1000.000	16968.000	1549.000	18597.000	154939.000
0.053	3750.000	5600.000	1000.000	18836.000	1689.000	20569.000	168941.000
0.051	3850.000	5760.000	1000.000	19587.000	1795.000	21260.000	179531.000
0.051	3950.000	5920.000	1000.000	19542.000	1787.000	21204.000	178757.000
0.048	4050.000	6080.000	1000.000	21014.000	1902.000	22651.000	190251.000
0.045	4150.000	6240.000	1000.000	21983.000	2008.000	23676.000	200865.000
0.042	4250.000	6400.000	1000.000	23726.000	2172.000	25474.000	217220.000
0.042	4350.000	6560.000	1000.000	23931.000	2188.000	25684.000	218825.000
0.039	4450.000	6720.000	1000.000	25740.000	2331.000	27524.000	233136.000
0.037	4550.000	6880.000	1000.000	27267.000	2470.000	29034.000	247083.000
0.037	4650.000	7040.000	1000.000	26819.000	2449.000	28592.000	244915.000
0.037	4750.000	7200.000	1000.000	26836.000	2450.000	28583.000	245034.000
0.033	4850.000	7360.000	1000.000	30236.000	2781.000	32054.000	278198.000
0.032	4950.000	7520.000	1000.000	31407.000	2853.000	33228.000	285325.000
0.033	5050.000	7680.000	1000.000	30569.000	2819.000	32396.000	281972.000
0.029	5150.000	7840.000	1000.000	34087.000	3116.000	35943.000	311611.000
0.027	5250.000	8000.000	1000.000	37031.000	3401.000	38930.000	340155.000
0.027	5350.000	8160.000	1000.000	37263.000	3409.000	39152.000	340986.000
0.025	5450.000	8320.000	1000.000	39371.000	3588.000	41280.000	358844.000
0.023	5550.000	8480.000	1000.000	42714.000	3897.000	44677.000	389759.000
0.024	5650.000	8640.000	1000.000	42406.000	3916.000	44365.000	391628.000
0.024	5750.000	8800.000	1000.000	42050.000	3804.000	43981.000	380504.000
0.022	5850.000	8960.000	1000.000	46496.000	4266.000	48531.000	426693.000
0.021	5950.000	9120.000	1000.000	47729.000	4363.000	49709.000	436371.000
0.019	6050.000	9280.000	1000.000	53140.000	4873.000	55262.000	487374.000
0.019	6150.000	9440.000	1000.000	52322.000	4820.000	54332.000	482094.000
0.019	6250.000	9600.000	1000.000	53330.000	4905.000	55432.000	490523.000
0.019	6350.000	9760.000	1000.000	53125.000	4919.000	55228.000	491941.000
0.018	6450.000	9920.000	1000.000	55013.000	5027.000	57065.000	502795.000
0.017	6550.000	10080.000	1000.000	58075.000	5321.000	60220.000	532204.000
0.016	6650.000	10240.000	1000.000	64277.000	5904.000	66552.000	590425.000
0.015	6750.000	10400.000	1000.000	66936.000	6138.000	69167.000	613837.000
0.015	6850.000	10560.000	1000.000	66779.000	6105.000	68947.000	610525.000
0.014	6950.000	10720.000	1000.000	70084.000	6443.000	72354.000	644399.000
0.014	7050.000	10880.000	1000.000	72531.000	6675.000	74816.000	667583.000
0.014	7150.000	11040.000	1000.000	73835.000	6773.000	76123.000	677414.000
0.014	7250.000	11200.000	1000.000	71112.000	18036.000	73899.000	1803741.000
0.013	7350.000	11360.000	1000.000	77497.000	7086.000	79810.000	708624.000
