P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2
0.279	850.000		960.000		1000.000	3585.000	331.000		5140.000	33166.000
0.267	950.000		1120.000	1000.000	3748.000	342.000		5274.000	34246.000
0.252	1050.000	1280.000	1000.000	3970.000	359.000		5501.000	35981.000
0.240	1150.000	1440.000	1000.000	4173.000	368.000		5703.000	36872.000
0.221	1250.000	1600.000	1000.000	4516.000	412.000		6055.000	41205.000
0.199	1350.000	1760.000	1000.000	5024.000	446.000		6551.000	44680.000
0.197	1450.000	1920.000	1000.000	5089.000	454.000		6609.000	45500.000
0.180	1550.000	2080.000	1000.000	5544.000	495.000		7085.000	49546.000
0.180	1650.000	2240.000	1000.000	5570.000	504.000		7153.000	50440.000
0.170	1750.000	2400.000	1000.000	5866.000	524.000		7407.000	52499.000
0.156	1850.000	2560.000	1000.000	6404.000	579.000		7946.000	57979.000
0.141	1950.000	2720.000	1000.000	7085.000	633.000		8641.000	63327.000
0.144	2050.000	2880.000	1000.000	6961.000	617.000		8485.000	61756.000
0.127	2150.000	3040.000	1000.000	7846.000	707.000		9479.000	70749.000
0.122	2250.000	3200.000	1000.000	8219.000	754.000		9815.000	75407.000
0.115	2350.000	3360.000	1000.000	8665.000	788.000		10301.000	78815.000
0.111	2450.000	3520.000	1000.000	9018.000	804.000		10603.000	80435.000
0.104	2550.000	3680.000	1000.000	9657.000	873.000		11253.000	87362.000
0.098	2650.000	3840.000	1000.000	10253.000	919.000		11886.000	91978.000
0.096	2750.000	4000.000	1000.000	10470.000	940.000		12039.000	94014.000
0.088	2850.000	4160.000	1000.000	11365.000	1028.000	12968.000	102883.000
0.090	2950.000	4320.000	1000.000	11121.000	1004.000	12737.000	100447.000
0.082	3050.000	4480.000	1000.000	12133.000	1109.000	13759.000	111002.000
0.081	3150.000	4640.000	1000.000	12339.000	1101.000	13946.000	110105.000
0.073	3250.000	4800.000	1000.000	13735.000	1248.000	15445.000	124835.000
0.069	3350.000	4960.000	1000.000	14467.000	1306.000	16155.000	130700.000
0.069	3450.000	5120.000	1000.000	14500.000	1311.000	16179.000	131192.000
0.067	3550.000	5280.000	1000.000	15010.000	1361.000	16617.000	136195.000
0.062	3650.000	5440.000	1000.000	16254.000	1453.000	17913.000	145321.000
0.063	3750.000	5600.000	1000.000	15967.000	1473.000	17619.000	147382.000
0.056	3850.000	5760.000	1000.000	17757.000	1616.000	19458.000	161615.000
0.056	3950.000	5920.000	1000.000	17848.000	1613.000	19549.000	161393.000
0.052	4050.000	6080.000	1000.000	19404.000	1748.000	21098.000	174857.000
0.051	4150.000	6240.000	1000.000	19765.000	1790.000	21460.000	179023.000
0.050	4250.000	6400.000	1000.000	20102.000	1822.000	21758.000	182222.000
