P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2
0.280	850.000		960.000		1000.000	3567.000	317.000		5160.000	31750.000
0.282	950.000		1120.000	1000.000	3551.000	313.000		5019.000	31307.000
0.258	1050.000	1280.000	1000.000	3871.000	343.000		5425.000	34330.000
0.233	1150.000	1440.000	1000.000	4298.000	1071.000	5757.000	107160.000
0.221	1250.000	1600.000	1000.000	4533.000	402.000		6073.000	40238.000
0.206	1350.000	1760.000	1000.000	4845.000	438.000		6400.000	43899.000
0.192	1450.000	1920.000	1000.000	5204.000	472.000		6709.000	47274.000
0.179	1550.000	2080.000	1000.000	5596.000	503.000		7126.000	50323.000
0.180	1650.000	2240.000	1000.000	5560.000	509.000		7109.000	50985.000
0.157	1750.000	2400.000	1000.000	6370.000	578.000		7932.000	57822.000
0.159	1850.000	2560.000	1000.000	6280.000	569.000		7787.000	56974.000
0.147	1950.000	2720.000	1000.000	6790.000	608.000		8318.000	60868.000
0.133	2050.000	2880.000	1000.000	7532.000	678.000		9100.000	67827.000
0.125	2150.000	3040.000	1000.000	8022.000	720.000		9668.000	72016.000
0.123	2250.000	3200.000	1000.000	8151.000	737.000		9734.000	73739.000
0.111	2350.000	3360.000	1000.000	8998.000	804.000		10588.000	80460.000
0.117	2450.000	3520.000	1000.000	8542.000	773.000		10098.000	77347.000
0.112	2550.000	3680.000	1000.000	8953.000	806.000		10480.000	80646.000
0.101	2650.000	3840.000	1000.000	9865.000	900.000		11478.000	90088.000
0.092	2750.000	4000.000	1000.000	10855.000	969.000		12511.000	96981.000
0.091	2850.000	4160.000	1000.000	11045.000	994.000		12621.000	99409.000
0.090	2950.000	4320.000	1000.000	11051.000	1008.000	12642.000	100818.000
0.082	3050.000	4480.000	1000.000	12139.000	1101.000	13724.000	110121.000
0.079	3150.000	4640.000	1000.000	12697.000	1159.000	14342.000	115943.000
0.072	3250.000	4800.000	1000.000	13952.000	1242.000	15633.000	124247.000
0.071	3350.000	4960.000	1000.000	14069.000	1294.000	15698.000	129464.000
0.068	3450.000	5120.000	1000.000	14719.000	1331.000	16386.000	133141.000
0.064	3550.000	5280.000	1000.000	15664.000	1417.000	17357.000	141765.000
0.060	3650.000	5440.000	1000.000	16756.000	1523.000	18405.000	152390.000
0.054	3750.000	5600.000	1000.000	18512.000	1649.000	20216.000	164914.000
0.056	3850.000	5760.000	1000.000	17820.000	1616.000	19498.000	161635.000
0.056	3950.000	5920.000	1000.000	17836.000	1621.000	19483.000	162133.000
0.051	4050.000	6080.000	1000.000	19462.000	1748.000	21163.000	174823.000
0.048	4150.000	6240.000	1000.000	20801.000	1914.000	22503.000	191471.000
0.048	4250.000	6400.000	1000.000	20919.000	1892.000	22621.000	189229.000
0.045	4350.000	6560.000	1000.000	22250.000	2004.000	23928.000	200482.000
0.041	4450.000	6720.000	1000.000	24554.000	2251.000	26333.000	225127.000
0.041	4550.000	6880.000	1000.000	24400.000	2204.000	26105.000	220419.000
0.038	4650.000	7040.000	1000.000	26480.000	2393.000	28295.000	239369.000
0.038	4750.000	7200.000	1000.000	26388.000	2408.000	28206.000	240823.000
0.036	4850.000	7360.000	1000.000	27719.000	2517.000	29523.000	251713.000
0.034	4950.000	7520.000	1000.000	29471.000	2674.000	31257.000	267440.000
0.033	5050.000	7680.000	1000.000	30626.000	2751.000	32399.000	275148.000
0.032	5150.000	7840.000	1000.000	31188.000	2840.000	33012.000	284044.000
0.031	5250.000	8000.000	1000.000	32383.000	2966.000	34202.000	296650.000
0.029	5350.000	8160.000	1000.000	34100.000	3093.000	35941.000	309376.000
0.026	5450.000	8320.000	1000.000	37752.000	3440.000	39650.000	344107.000
0.027	5550.000	8480.000	1000.000	36878.000	3345.000	38765.000	334513.000
0.025	5650.000	8640.000	1000.000	40587.000	3659.000	42487.000	365916.000
0.024	5750.000	8800.000	1000.000	41558.000	3795.000	43512.000	379595.000
0.024	5850.000	8960.000	1000.000	41540.000	3793.000	43506.000	379353.000
0.023	5950.000	9120.000	1000.000	43614.000	3936.000	45547.000	393610.000
0.022	6050.000	9280.000	1000.000	45574.000	4125.000	47578.000	412598.000
0.022	6150.000	9440.000	1000.000	44576.000	4053.000	46490.000	405393.000
0.020	6250.000	9600.000	1000.000	50460.000	4618.000	52486.000	461883.000
0.019	6350.000	9760.000	1000.000	53225.000	4859.000	55352.000	485968.000
0.020	6450.000	9920.000	1000.000	50184.000	4572.000	52189.000	457285.000
0.018	6550.000	10080.000	1000.000	55340.000	5047.000	57439.000	504753.000
0.017	6650.000	10240.000	1000.000	58189.000	5306.000	60361.000	530617.000
0.016	6750.000	10400.000	1000.000	61467.000	5605.000	63559.000	560605.000
0.016	6850.000	10560.000	1000.000	60887.000	5527.000	63069.000	552764.000
0.016	6950.000	10720.000	1000.000	63376.000	5759.000	65538.000	575963.000
0.016	7050.000	10880.000	1000.000	64183.000	5849.000	66350.000	584930.000
0.015	7150.000	11040.000	1000.000	65405.000	5975.000	67566.000	597547.000
0.014	7250.000	11200.000	1000.000	69786.000	6347.000	71993.000	634730.000
0.015	7350.000	11360.000	1000.000	67080.000	6100.000	69299.000	610071.000
0.013	7450.000	11520.000	1000.000	75223.000	6834.000	77536.000	683431.000
0.013	7550.000	11680.000	1000.000	77556.000	7074.000	79830.000	707435.000
0.012	7650.000	11840.000	1000.000	81046.000	7385.000	83346.000	738545.000
0.012	7750.000	12000.000	1000.000	82000.000	7491.000	84404.000	749160.000
0.012	7850.000	12160.000	1000.000	85508.000	7770.000	87865.000	777086.000
0.012	7950.000	12320.000	1000.000	85964.000	7796.000	88277.000	779622.000
0.011	8050.000	12480.000	1000.000	89675.000	8124.000	92058.000	812436.000
0.010	8150.000	12640.000	1000.000	95724.000	8703.000	98242.000	870357.000
0.010	8250.000	12800.000	1000.000	97397.000	8861.000	99916.000	886151.000
0.011	8350.000	12960.000	1000.000	95232.000	8636.000	97744.000	863646.000
0.010	8450.000	13120.000	1000.000	99554.000	9034.000	102079.000	903502.000
0.009	8550.000	13280.000	1000.000	109466.000	9946.000	112114.000	994666.000
0.009	8650.000	13440.000	1000.000	105811.000	9626.000	108374.000	962653.000
0.009	8750.000	13600.000	1000.000	106623.000	9690.000	109233.000	969119.000
0.009	8850.000	13760.000	1000.000	111857.000	10160.000	114541.000	1016096.000
0.009	8950.000	13920.000	1000.000	112947.000	10269.000	115591.000	1026947.000
