P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2
0.257	850.000		960.000		1000.000	3889.000	356.000		5511.000	35642.000
0.264	950.000		1120.000	1000.000	3787.000	338.000		5314.000	33802.000
0.252	1050.000	1280.000	1000.000	3966.000	359.000		5473.000	35919.000
0.225	1150.000	1440.000	1000.000	4445.000	403.000		5941.000	40378.000
0.214	1250.000	1600.000	1000.000	4680.000	428.000		6236.000	42845.000
0.206	1350.000	1760.000	1000.000	4865.000	438.000		6395.000	43809.000
0.187	1450.000	1920.000	1000.000	5342.000	489.000		6891.000	48956.000
0.183	1550.000	2080.000	1000.000	5468.000	494.000		6967.000	49456.000
0.165	1650.000	2240.000	1000.000	6066.000	547.000		7627.000	54740.000
0.154	1750.000	2400.000	1000.000	6476.000	590.000		8030.000	59096.000
0.155	1850.000	2560.000	1000.000	6436.000	598.000		8006.000	59900.000
0.145	1950.000	2720.000	1000.000	6906.000	640.000		8487.000	64010.000
0.130	2050.000	2880.000	1000.000	7686.000	701.000		9281.000	70125.000
0.123	2150.000	3040.000	1000.000	8156.000	733.000		9738.000	73378.000
0.119	2250.000	3200.000	1000.000	8399.000	759.000		9964.000	75958.000
0.112	2350.000	3360.000	1000.000	8914.000	818.000		10469.000	81887.000
0.105	2450.000	3520.000	1000.000	9488.000	854.000		11053.000	85499.000
0.097	2550.000	3680.000	1000.000	10352.000	932.000		11941.000	93222.000
0.099	2650.000	3840.000	1000.000	10110.000	921.000		11713.000	92158.000
0.086	2750.000	4000.000	1000.000	11613.000	1058.000	13265.000	105859.000
0.084	2850.000	4160.000	1000.000	11928.000	1097.000	13548.000	109801.000
0.080	2950.000	4320.000	1000.000	12480.000	1130.000	14088.000	113031.000
0.077	3050.000	4480.000	1000.000	13056.000	1201.000	14665.000	120104.000
0.078	3150.000	4640.000	1000.000	12783.000	3269.000	14412.000	326989.000
0.067	3250.000	4800.000	1000.000	15017.000	1379.000	16686.000	137932.000
0.066	3350.000	4960.000	1000.000	15119.000	1389.000	16782.000	138925.000
0.063	3450.000	5120.000	1000.000	15760.000	1432.000	17434.000	143256.000
0.060	3550.000	5280.000	1000.000	16769.000	1547.000	18409.000	154720.000
0.057	3650.000	5440.000	1000.000	17672.000	1625.000	19379.000	162509.000
0.055	3750.000	5600.000	1000.000	18043.000	1652.000	19669.000	165221.000
0.054	3850.000	5760.000	1000.000	18647.000	1704.000	20291.000	170432.000
0.048	3950.000	5920.000	1000.000	20653.000	1878.000	22360.000	187875.000
0.048	4050.000	6080.000	1000.000	20666.000	1893.000	22369.000	189379.000
0.046	4150.000	6240.000	1000.000	21902.000	2007.000	23586.000	200743.000
