P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2
0.267	850.000		960.000		1000.000	3739.000	333.000		5335.000	33380.000
0.264	950.000		1120.000	1000.000	3782.000	339.000		5325.000	33953.000
0.253	1050.000	1280.000	1000.000	3957.000	357.000		5501.000	35781.000
0.229	1150.000	1440.000	1000.000	4369.000	388.000		5899.000	38878.000
0.218	1250.000	1600.000	1000.000	4593.000	415.000		6135.000	41601.000
0.208	1350.000	1760.000	1000.000	4814.000	425.000		6359.000	42590.000
0.190	1450.000	1920.000	1000.000	5258.000	478.000		6817.000	47901.000
0.191	1550.000	2080.000	1000.000	5231.000	474.000		6768.000	47457.000
0.182	1650.000	2240.000	1000.000	5491.000	1408.000	6975.000	140850.000
0.165	1750.000	2400.000	1000.000	6072.000	539.000		7588.000	53927.000
0.155	1850.000	2560.000	1000.000	6463.000	579.000		8005.000	57998.000
0.145	1950.000	2720.000	1000.000	6906.000	623.000		8505.000	62355.000
0.138	2050.000	2880.000	1000.000	7248.000	662.000		8824.000	66207.000
0.130	2150.000	3040.000	1000.000	7714.000	704.000		9267.000	70431.000
0.122	2250.000	3200.000	1000.000	8195.000	759.000		9793.000	75977.000
0.117	2350.000	3360.000	1000.000	8523.000	770.000		10111.000	77028.000
0.112	2450.000	3520.000	1000.000	8912.000	815.000		10457.000	81552.000
0.099	2550.000	3680.000	1000.000	10052.000	908.000		11641.000	90842.000
0.104	2650.000	3840.000	1000.000	9661.000	866.000		11241.000	86651.000
0.093	2750.000	4000.000	1000.000	10761.000	971.000		12360.000	97139.000
0.093	2850.000	4160.000	1000.000	10735.000	973.000		12313.000	97378.000
0.084	2950.000	4320.000	1000.000	11963.000	1084.000	13563.000	108420.000
0.080	3050.000	4480.000	1000.000	12489.000	1137.000	14134.000	113750.000
0.078	3150.000	4640.000	1000.000	12838.000	1161.000	14468.000	116139.000
0.073	3250.000	4800.000	1000.000	13659.000	1238.000	15300.000	123884.000
0.068	3350.000	4960.000	1000.000	14749.000	1348.000	16460.000	134812.000
0.068	3450.000	5120.000	1000.000	14691.000	1355.000	16349.000	135593.000
0.066	3550.000	5280.000	1000.000	15216.000	1367.000	16858.000	136712.000
0.060	3650.000	5440.000	1000.000	16682.000	1521.000	18344.000	152181.000
0.054	3750.000	5600.000	1000.000	18660.000	1683.000	20331.000	168386.000
0.055	3850.000	5760.000	1000.000	18157.000	1642.000	19768.000	164253.000
0.050	3950.000	5920.000	1000.000	19871.000	1805.000	21574.000	180588.000
0.051	4050.000	6080.000	1000.000	19612.000	1761.000	21290.000	176142.000
0.048	4150.000	6240.000	1000.000	21038.000	1902.000	22756.000	190220.000
0.047	4250.000	6400.000	1000.000	21446.000	1955.000	23186.000	195591.000
0.045	4350.000	6560.000	1000.000	22417.000	2029.000	24129.000	202980.000
0.041	4450.000	6720.000	1000.000	24433.000	2205.000	26215.000	220554.000
0.038	4550.000	6880.000	1000.000	26313.000	2386.000	28115.000	238699.000
0.039	4650.000	7040.000	1000.000	25720.000	2348.000	27446.000	234810.000
0.037	4750.000	7200.000	1000.000	26860.000	2440.000	28608.000	244032.000
0.037	4850.000	7360.000	1000.000	27332.000	2495.000	29083.000	249539.000
0.033	4950.000	7520.000	1000.000	29874.000	2735.000	31720.000	273550.000
0.032	5050.000	7680.000	1000.000	31641.000	2893.000	33480.000	289399.000
0.031	5150.000	7840.000	1000.000	32091.000	2919.000	33972.000	291976.000
0.030	5250.000	8000.000	1000.000	33147.000	3001.000	35014.000	300125.000
0.029	5350.000	8160.000	1000.000	34589.000	3154.000	36462.000	315483.000
0.028	5450.000	8320.000	1000.000	35366.000	3224.000	37220.000	322455.000
0.026	5550.000	8480.000	1000.000	38229.000	3472.000	40141.000	347232.000
0.025	5650.000	8640.000	1000.000	40183.000	3629.000	42134.000	363001.000
0.024	5750.000	8800.000	1000.000	41560.000	3760.000	43473.000	376083.000
0.023	5850.000	8960.000	1000.000	42944.000	3875.000	44838.000	387582.000
0.023	5950.000	9120.000	1000.000	44133.000	4010.000	46066.000	401021.000
0.021	6050.000	9280.000	1000.000	48422.000	4428.000	50499.000	442866.000
0.021	6150.000	9440.000	1000.000	47419.000	4332.000	49411.000	433253.000
0.020	6250.000	9600.000	1000.000	50023.000	4528.000	52040.000	452891.000
0.018	6350.000	9760.000	1000.000	56394.000	5149.000	58516.000	514971.000
0.018	6450.000	9920.000	1000.000	55194.000	5028.000	57322.000	502872.000
0.018	6550.000	10080.000	1000.000	54292.000	4942.000	56409.000	494242.000
0.018	6650.000	10240.000	1000.000	56870.000	5155.000	58906.000	515561.000
0.016	6750.000	10400.000	1000.000	61112.000	5565.000	63299.000	556547.000
0.017	6850.000	10560.000	1000.000	59095.000	5356.000	61221.000	535613.000
0.016	6950.000	10720.000	1000.000	63967.000	5853.000	66101.000	585339.000
0.016	7050.000	10880.000	1000.000	63860.000	5805.000	65970.000	580567.000
0.014	7150.000	11040.000	1000.000	72253.000	6569.000	74560.000	656932.000
0.014	7250.000	11200.000	1000.000	71352.000	6528.000	73561.000	652912.000
0.014	7350.000	11360.000	1000.000	72851.000	6664.000	75136.000	666418.000
0.013	7450.000	11520.000	1000.000	76908.000	7004.000	79167.000	700467.000
0.013	7550.000	11680.000	1000.000	75327.000	6822.000	77554.000	682222.000
0.012	7650.000	11840.000	1000.000	80373.000	7302.000	82700.000	730290.000
0.012	7750.000	12000.000	1000.000	81661.000	7444.000	84022.000	744455.000
0.012	7850.000	12160.000	1000.000	85220.000	7770.000	87592.000	777055.000
0.012	7950.000	12320.000	1000.000	86427.000	7865.000	88774.000	786600.000
0.011	8050.000	12480.000	1000.000	91162.000	8276.000	93659.000	827647.000
0.011	8150.000	12640.000	1000.000	89678.000	8120.000	92103.000	812106.000
0.011	8250.000	12800.000	1000.000	91811.000	8335.000	94237.000	833595.000
0.011	8350.000	12960.000	1000.000	90700.000	8233.000	93053.000	823366.000
0.011	8450.000	13120.000	1000.000	93608.000	23418.000	96815.000	2341956.000
0.010	8550.000	13280.000	1000.000	99993.000	9030.000	102516.000	903118.000
0.010	8650.000	13440.000	1000.000	100125.000	9045.000	102608.000	904542.000
0.009	8750.000	13600.000	1000.000	112787.000	10228.000	115502.000	1022866.000
0.009	8850.000	13760.000	1000.000	109666.000	9902.000	112299.000	990225.000
0.009	8950.000	13920.000	1000.000	115712.000	10518.000	118383.000	1051884.000
0.008	9050.000	14080.000	1000.000	123467.000	11173.000	126226.000	1117382.000
0.009	9150.000	14240.000	1000.000	117252.000	10589.000	119960.000	1058958.000
0.008	9250.000	14400.000	1000.000	123956.000	11235.000	126980.000	1123619.000
0.008	9350.000	14560.000	1000.000	125016.000	11391.000	128962.000	1139198.000
0.008	9450.000	14720.000	1000.000	128322.000	11726.000	132291.000	1172653.000
