Error,Time,Mean P,P1,P2,P3,P4,P5
0.002803266563835852,850.0,0.6574595233143491,0.6672765826983653,0.6587801641548433,0.6524122487444656,0.6571552682091157,0.6516733527649559
0.0007538669966696254,950.0,0.7147898684990729,0.7173702754429574,0.7139053995211155,0.7129243987655531,0.7153389488062654,0.7144103199594729
0.001659690216009868,1050.0,0.7062297437255856,0.7088671855396842,0.7034104821153201,0.702232881320201,0.7055368649074703,0.7111013047452522
0.001038674428603271,1150.0,0.7016288971769049,0.7039910717881581,0.7000802032055936,0.6983933224231667,0.703153277544185,0.7025266109234211
0.0015801220160397064,1250.0,0.6962520140545821,0.7016220871550706,0.6938835044608096,0.698123991007183,0.6940478302558667,0.6935826573939807
0.0017459255238123977,1350.0,0.689341895944482,0.6929650421643405,0.6872219113544841,0.6895929505528137,0.6930332629418857,0.6838963127088862
0.0010377210572610593,1450.0,0.6904415139577771,0.6914642190512578,0.6879241564826861,0.6888426780965331,0.690142563816536,0.6938339523418726
0.0024874177202027846,1550.0,0.6897472063897176,0.6832338610932159,0.6970963552524205,0.6879499539890417,0.6936644242388968,0.6867914373750136
0.0008244030887774185,1650.0,0.6841247756123934,0.6840525932380097,0.686043103476854,0.6842755003889096,0.6851126880790804,0.6811399928791135
0.0015773894938754182,1750.0,0.6826040155664483,0.6816060363061319,0.6815379268461758,0.6869336543650758,0.6850987959288454,0.6778436643860127
0.0015594139451900815,1850.0,0.6802088085887339,0.6795369362649748,0.6765790676946152,0.6772797677282704,0.6842039685573686,0.6834443026984408
0.030476455598714147,1950.0,0.7075876568726233,0.6804990500642675,0.8294415301316577,0.6759920657819948,0.6765696309991629,0.6754360073860336
0.002008940431733891,2050.0,0.6765212155569919,0.6825515536172085,0.6726495423942837,0.6793521193319717,0.6761359440808457,0.6719169183606498
0.002968758329105873,2150.0,0.6751423437292546,0.6785307973891567,0.6797643322398812,0.6661993431634949,0.6812217340354982,0.6699955118182422
0.001965249081387079,2250.0,0.6713955271463918,0.6764848630202048,0.668351776665816,0.6757726990437175,0.6692548452340586,0.6671134517681621
0.0019259592806845657,2350.0,0.6724952340365424,0.6730528815100284,0.6673661726631204,0.6787350322119344,0.6735638434419563,0.6697582403556728
0.002176525600544895,2450.0,0.6665594368638528,0.6602642589827249,0.6679976947842506,0.6673594464803154,0.6732877934838242,0.663887990588149
0.0013103463547012237,2550.0,0.6627304905040446,0.6654093135893046,0.6657268277551579,0.6623925131977987,0.661445559231412,0.65867823874655
0.0014840075797625555,2650.0,0.6643801203510136,0.6604023537762107,0.6679939642356719,0.663181285739117,0.6676619755336507,0.6626610224704176
0.0019431526570664011,2750.0,0.6622788711207521,0.6618743994333794,0.6634103970546301,0.6665593745721854,0.6644233376311379,0.6551268469124275
0.0011337950612752674,2850.0,0.6613870924351141,0.6617066826692696,0.6601563670909185,0.6577615949883129,0.6630817133178005,0.6642291041092688
0.0018945095759532785,2950.0,0.660579920081822,0.6574873371498463,0.6634340304959163,0.6550382137697564,0.665294505690038,0.6616455133035528
0.00036394529425327524,3050.0,0.6579152906231434,0.6572475670508059,0.659210820613792,0.6572828575924445,0.6576677153768116,0.6581674924818632
0.001977564340215633,3150.0,0.6572818149238981,0.658457328722992,0.6615524498843931,0.6497906904797707,0.6578643308786525,0.6587442746536823
0.0019848269378277173,3250.0,0.655547129465473,0.6550327061576284,0.6626152072831398,0.6514289816116279,0.656408247947445,0.6522505043275235
0.001431399740065331,3350.0,0.6524251449161349,0.6544331670471643,0.6488692673745858,0.6562320022819954,0.6532006345456414,0.649390653331288
0.0020769484004810094,3450.0,0.6542127191323482,0.6603529045885378,0.6533701210988426,0.656744210641982,0.6526226964498637,0.6479736628825152
0.0011526000285460758,3550.0,0.6500941608370605,0.6521867812712595,0.6523499823642706,0.6496496673208297,0.6502967125779444,0.6459876606509981
0.0010585749795002412,3650.0,0.6475242013544716,0.6463823067561144,0.6463008869122008,0.6464438802050622,0.6517477928444009,0.6467461400545802
0.0018643742681384405,3750.0,0.6499494766384417,0.646568064815651,0.6564567101652096,0.648849862234431,0.6514341604391842,0.6464385855377325
0.001401189849477761,3850.0,0.647889460184055,0.6479815149277263,0.6484444935923148,0.6525954660595787,0.6441002980995092,0.6463255282411464
0.0019747622752439454,3950.0,0.6488152238431623,0.6442994061070366,0.649415507846002,0.6541738351144133,0.644386609473528,0.6518007606748311
0.002466471581274277,4050.0,0.6457152364669861,0.6472502134954953,0.644641392990079,0.6489726662504629,0.6367624492661809,0.6509494603327127
0.0019269999050196686,4150.0,0.6428354900238054,0.649865530845843,0.6389623114332103,0.639802110316857,0.6422104682314038,0.6433370292917131
0.0007771968799292261,4250.0,0.644024232805993,0.6434860746157063,0.6425840956663461,0.6429192160161739,0.6469338475028504,0.6441979302288884
0.0013716148170176332,4350.0,0.6410163561830176,0.6407366932413815,0.645700021920261,0.6395179866077996,0.6417018969373011,0.6374251822083442
0.00242713516092497,4450.0,0.6439208979872284,0.6366334023063699,0.6503465838042556,0.6448500422123433,0.6472455856360472,0.6405288759771263
0.0018815913922451146,4550.0,0.6388739884792664,0.6363686252291642,0.6455520872485024,0.6404603035758852,0.6366402756742179,0.6353486506685616
0.002355361075249212,4650.0,0.6407973172571021,0.6399577148964272,0.6447736429878803,0.6469084018523067,0.6388503598973122,0.6334964666515839
0.0014682630731835508,4750.0,0.639319030051991,0.6396713789122305,0.6382152038483793,0.6397598574636383,0.6440312600276983,0.6349174500080088
