P	T(ns)		T(точки)	n	N		Exposition(ms)	Ch1		Ch2		SS	Temp
0.027	7950.000	6160.000	100.000	3660.000	600.000		3837.000	30049.000	177.000	0.221
0.028	8050.000	6240.000	100.000	3588.000	1661.000	3745.000	83097.000	157.000	0.221
0.024	8150.000	6320.000	100.000	4250.000	689.000		4435.000	34460.000	185.000	0.221
0.025	8250.000	6400.000	100.000	3954.000	645.000		4138.000	32260.000	184.000	0.221
0.026	8350.000	6480.000	100.000	3849.000	617.000		4024.000	30858.000	175.000	0.221
0.026	8450.000	6560.000	100.000	3914.000	652.000		4091.000	32616.000	177.000	0.221
0.021	8550.000	6640.000	100.000	4808.000	798.000		4991.000	39922.000	183.000	0.221
0.021	8650.000	6720.000	100.000	4769.000	793.000		4961.000	39654.000	192.000	0.221
0.024	8750.000	6800.000	100.000	4254.000	719.000		4430.000	35959.000	176.000	0.221
0.022	8850.000	6880.000	100.000	4562.000	2129.000	4758.000	106453.000	196.000	0.221
0.023	8950.000	6960.000	100.000	4276.000	708.000		4441.000	35446.000	165.000	0.221
0.024	9050.000	7040.000	100.000	4210.000	699.000		4378.000	34973.000	168.000	0.221
0.019	9150.000	7120.000	100.000	5168.000	854.000		5339.000	42741.000	171.000	0.221
0.022	9250.000	7200.000	100.000	4525.000	756.000		4685.000	37823.000	160.000	0.221
0.016	9350.000	7280.000	100.000	6348.000	1063.000	6547.000	53191.000	199.000	0.221
0.020	9450.000	7360.000	100.000	5081.000	861.000		5259.000	43083.000	178.000	0.221
0.015	9550.000	7440.000	100.000	6572.000	1108.000	6760.000	55430.000	188.000	0.221
0.018	9650.000	7520.000	100.000	5431.000	888.000		5624.000	44422.000	193.000	0.221
0.017	9750.000	7600.000	100.000	5805.000	969.000		5991.000	48454.000	186.000	0.221
0.016	9850.000	7680.000	100.000	6099.000	1024.000	6293.000	51224.000	194.000	0.221
0.017	9950.000	7760.000	100.000	5982.000	1005.000	6143.000	50293.000	161.000	0.221
0.016	10050.000	7840.000	100.000	6062.000	1019.000	6222.000	50974.000	160.000	0.221
0.016	10150.000	7920.000	100.000	6423.000	1095.000	6603.000	54779.000	180.000	0.221
0.016	10250.000	8000.000	100.000	6151.000	1046.000	6350.000	52309.000	199.000	0.221
0.013	10350.000	8080.000	100.000	7832.000	1319.000	8014.000	65967.000	182.000	0.221
0.012	10450.000	8160.000	100.000	8237.000	1387.000	8431.000	69384.000	194.000	0.221
0.015	10550.000	8240.000	100.000	6628.000	1099.000	6806.000	54993.000	178.000	0.221
0.011	10650.000	8320.000	100.000	8728.000	1469.000	8937.000	73469.000	209.000	0.221
0.015	10750.000	8400.000	100.000	6501.000	1080.000	6686.000	54038.000	185.000	0.221
0.012	10850.000	8480.000	100.000	8265.000	1410.000	8477.000	70507.000	212.000	0.221
0.013	10950.000	8560.000	100.000	7674.000	1282.000	7863.000	64145.000	189.000	0.221
0.013	11050.000	8640.000	100.000	7951.000	1326.000	8154.000	66309.000	203.000	0.221
0.011	11150.000	8720.000	100.000	9260.000	1580.000	9495.000	79021.000	233.000	0.221
0.014	11250.000	8800.000	100.000	7386.000	1215.000	7561.000	60752.000	175.000	0.221
0.012	11350.000	8880.000	100.000	8175.000	1369.000	8364.000	68452.000	189.000	0.221
0.010	11450.000	8960.000	100.000	10147.000	1726.000	10381.000	86344.000	228.000	0.221
0.010	11550.000	9040.000	100.000	9639.000	1585.000	9836.000	79288.000	197.000	0.221
0.011	11650.000	9120.000	100.000	9101.000	1526.000	9310.000	76317.000	209.000	0.221
0.010	11750.000	9200.000	100.000	10520.000	1779.000	10745.000	88991.000	225.000	0.221
0.009	11850.000	9280.000	100.000	11102.000	1881.000	11337.000	94083.000	235.000	0.221
0.010	11950.000	9360.000	100.000	10388.000	1753.000	10610.000	87671.000	222.000	0.221
0.010	12050.000	9440.000	100.000	10262.000	1741.000	10486.000	87066.000	224.000	0.221
0.011	12150.000	9520.000	100.000	9321.000	1564.000	9530.000	78223.000	209.000	0.221
0.008	12250.000	9600.000	100.000	12875.000	2173.000	13108.000	108683.000	233.000	0.221
0.011	12350.000	9680.000	100.000	9225.000	1527.000	9414.000	76369.000	189.000	0.221
0.009	12450.000	9760.000	100.000	10680.000	1798.000	10899.000	89926.000	219.000	0.221
0.009	12550.000	9840.000	100.000	10840.000	1789.000	11040.000	89487.000	200.000	0.221
0.008	12650.000	9920.000	100.000	12726.000	2153.000	12965.000	107698.000	239.000	0.221
0.008	12750.000	10000.000	100.000	11784.000	1967.000	12011.000	98375.000	227.000	0.221
0.007	12850.000	10080.000	100.000	13980.000	2307.000	14235.000	115378.000	255.000	0.221
0.009	12950.000	10160.000	100.000	11749.000	1995.000	11969.000	99784.000	220.000	0.221
0.009	13050.000	10240.000	100.000	11288.000	1892.000	11509.000	94634.000	221.000	0.221
0.009	13150.000	10320.000	100.000	11335.000	1920.000	11543.000	96043.000	208.000	0.221
0.008	13250.000	10400.000	100.000	12997.000	2187.000	13224.000	109391.000	227.000	0.221
0.009	13350.000	10480.000	100.000	11009.000	1880.000	11246.000	94023.000	237.000	0.221
0.007	13450.000	10560.000	100.000	14509.000	2478.000	14767.000	123952.000	258.000	0.221
0.008	13550.000	10640.000	100.000	12885.000	2165.000	13096.000	108281.000	211.000	0.222
0.007	13650.000	10720.000	100.000	14477.000	2417.000	14717.000	120873.000	240.000	0.221
0.007	13750.000	10800.000	100.000	13602.000	2306.000	13828.000	115347.000	226.000	0.221
0.007	13850.000	10880.000	100.000	15210.000	2562.000	15469.000	128125.000	259.000	0.222
0.007	13950.000	10960.000	100.000	15217.000	2563.000	15480.000	128186.000	263.000	0.221
0.007	14050.000	11040.000	100.000	13838.000	2319.000	14068.000	115991.000	230.000	0.221
0.008	14150.000	11120.000	100.000	12670.000	2158.000	12882.000	107910.000	212.000	0.222
0.007	14250.000	11200.000	100.000	15333.000	2568.000	15553.000	128431.000	220.000	0.221
0.008	14350.000	11280.000	100.000	12346.000	2085.000	12562.000	104282.000	216.000	0.222
0.007	14450.000	11360.000	100.000	14409.000	6627.000	14706.000	331384.000	297.000	0.221
0.007	14550.000	11440.000	100.000	14585.000	2460.000	14822.000	123008.000	237.000	0.222
0.005	14650.000	11520.000	100.000	18490.000	3077.000	18742.000	153900.000	252.000	0.221
0.005	14750.000	11600.000	100.000	18194.000	3071.000	18452.000	153594.000	258.000	0.222
0.005	14850.000	11680.000	100.000	18753.000	3184.000	19021.000	159226.000	268.000	0.222
0.006	14950.000	11760.000	100.000	17967.000	3024.000	18231.000	151252.000	264.000	0.221
0.005	15050.000	11840.000	100.000	18327.000	3067.000	18570.000	153359.000	243.000	0.222
0.006	15150.000	11920.000	100.000	16336.000	2756.000	16579.000	137836.000	243.000	0.222
0.006	15250.000	12000.000	100.000	16107.000	7342.000	16426.000	367124.000	319.000	0.221
0.006	15350.000	12080.000	100.000	16329.000	2747.000	16574.000	137370.000	245.000	0.222
0.005	15450.000	12160.000	100.000	20154.000	3375.000	20437.000	168766.000	283.000	0.221
0.006	15550.000	12240.000	100.000	18018.000	3082.000	18284.000	154118.000	266.000	0.221
0.005	15650.000	12320.000	100.000	19073.000	3219.000	19348.000	160965.000	275.000	0.222
0.005	15750.000	12400.000	100.000	20385.000	3436.000	20673.000	171828.000	288.000	0.222
0.005	15850.000	12480.000	100.000	20725.000	3511.000	20983.000	175567.000	258.000	0.222
0.005	15950.000	12560.000	100.000	19975.000	3350.000	20234.000	167549.000	259.000	0.222
0.006	16050.000	12640.000	100.000	17839.000	3009.000	18092.000	150473.000	253.000	0.221
0.006	16150.000	12720.000	100.000	15973.000	2705.000	16211.000	135257.000	238.000	0.222
0.005	16250.000	12800.000	100.000	20945.000	3514.000	21234.000	175747.000	289.000	0.222
0.006	16350.000	12880.000	100.000	17099.000	7995.000	17439.000	399778.000	340.000	0.222
0.005	16450.000	12960.000	100.000	21621.000	3593.000	21916.000	179666.000	295.000	0.222
0.005	16550.000	13040.000	100.000	19527.000	3278.000	19790.000	163927.000	263.000	0.222
0.005	16650.000	13120.000	100.000	21379.000	3598.000	21668.000	179910.000	289.000	0.222
0.004	16750.000	13200.000	100.000	24626.000	4173.000	24915.000	208697.000	289.000	0.222
0.004	16850.000	13280.000	100.000	23341.000	3924.000	23636.000	196209.000	295.000	0.222
0.004	16950.000	13360.000	100.000	23886.000	4019.000	24198.000	201000.000	312.000	0.222
0.004	17050.000	13440.000	100.000	26729.000	4537.000	27036.000	226876.000	307.000	0.222
0.005	17150.000	13520.000	100.000	19027.000	3202.000	19303.000	160109.000	276.000	0.222
0.004	17250.000	13600.000	100.000	26179.000	4410.000	26500.000	220541.000	321.000	0.222
0.004	17350.000	13680.000	100.000	27382.000	4592.000	27700.000	229609.000	309.000	0.222
0.005	17450.000	13760.000	100.000	21835.000	3708.000	22111.000	185405.000	276.000	0.222
0.004	17550.000	13840.000	100.000	23078.000	3886.000	23349.000	194350.000	271.000	0.222
0.004	17650.000	13920.000	100.000	24632.000	4153.000	24940.000	207658.000	307.000	0.222
0.004	17750.000	14000.000	100.000	24030.000	4059.000	24326.000	202989.000	296.000	0.222
0.003	17850.000	14080.000	100.000	29485.000	4983.000	29819.000	249162.000	334.000	0.222
0.003	17950.000	14160.000	100.000	29348.000	4976.000	29670.000	248813.000	322.000	0.222
0.004	18050.000	14240.000	100.000	25503.000	4309.000	25780.000	215477.000	277.000	0.222
0.003	18150.000	14320.000	100.000	31672.000	5368.000	32037.000	268450.000	365.000	0.222
