P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2
0.265	850.000		960.000		1000.000	3775.000	345.000		5358.000	34570.000
0.261	950.000		1120.000	1000.000	3829.000	349.000		5362.000	35001.000
0.240	1050.000	1280.000	1000.000	4174.000	385.000		5750.000	38592.000
0.231	1150.000	1440.000	1000.000	4337.000	407.000		5891.000	40790.000
0.222	1250.000	1600.000	1000.000	4503.000	408.000		6059.000	40881.000
0.193	1350.000	1760.000	1000.000	5179.000	468.000		6756.000	46899.000
0.185	1450.000	1920.000	1000.000	5401.000	493.000		6961.000	49342.000
0.179	1550.000	2080.000	1000.000	5573.000	508.000		7135.000	50895.000
0.162	1650.000	2240.000	1000.000	6189.000	560.000		7749.000	56062.000
0.155	1750.000	2400.000	1000.000	6466.000	601.000		8084.000	60117.000
0.144	1850.000	2560.000	1000.000	6949.000	627.000		8498.000	62784.000
0.141	1950.000	2720.000	1000.000	7114.000	640.000		8604.000	64065.000
0.126	2050.000	2880.000	1000.000	7930.000	732.000		9510.000	73242.000
0.117	2150.000	3040.000	1000.000	8555.000	782.000		10162.000	78209.000
0.111	2250.000	3200.000	1000.000	9021.000	812.000		10592.000	81237.000
0.101	2350.000	3360.000	1000.000	9864.000	903.000		11464.000	90336.000
0.092	2450.000	3520.000	1000.000	10903.000	1001.000	12551.000	100117.000
0.092	2550.000	3680.000	1000.000	10813.000	986.000		12451.000	98702.000
0.084	2650.000	3840.000	1000.000	11847.000	1083.000	13485.000	108376.000
0.085	2750.000	4000.000	1000.000	11764.000	1067.000	13384.000	106733.000
0.078	2850.000	4160.000	1000.000	12821.000	1166.000	14465.000	116687.000
0.073	2950.000	4320.000	1000.000	13687.000	1257.000	15322.000	125731.000
0.068	3050.000	4480.000	1000.000	14697.000	1350.000	16378.000	135046.000
0.067	3150.000	4640.000	1000.000	14856.000	1361.000	16501.000	136186.000
0.065	3250.000	4800.000	1000.000	15491.000	1439.000	17181.000	143913.000
0.063	3350.000	4960.000	1000.000	15948.000	1469.000	17573.000	146952.000
0.059	3450.000	5120.000	1000.000	16966.000	1556.000	18667.000	155627.000
0.053	3550.000	5280.000	1000.000	18916.000	1739.000	20617.000	173993.000
0.051	3650.000	5440.000	1000.000	19792.000	1805.000	21542.000	180542.000
