P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2
0.291	850.000		960.000		1000.000	3433.000	63323.000	5053.000	30904.000
0.265	950.000		1120.000	1000.000	3772.000	337.000		5314.000	33731.000
0.248	1050.000	1280.000	1000.000	4038.000	370.000		5594.000	37047.000
0.225	1150.000	1440.000	1000.000	4438.000	400.000		5954.000	40032.000
0.214	1250.000	1600.000	1000.000	4671.000	423.000		6247.000	42309.000
0.209	1350.000	1760.000	1000.000	4783.000	437.000		6305.000	43731.000
0.181	1450.000	1920.000	1000.000	5517.000	506.000		7097.000	50627.000
0.168	1550.000	2080.000	1000.000	5951.000	554.000		7525.000	55501.000
0.157	1650.000	2240.000	1000.000	6357.000	566.000		7926.000	56672.000
0.154	1750.000	2400.000	1000.000	6475.000	593.000		8022.000	59373.000
0.142	1850.000	2560.000	1000.000	7033.000	653.000		8600.000	65376.000
0.134	1950.000	2720.000	1000.000	7466.000	698.000		9079.000	69884.000
0.122	2050.000	2880.000	1000.000	8213.000	755.000		9838.000	75520.000
0.122	2150.000	3040.000	1000.000	8218.000	746.000		9798.000	74635.000
0.112	2250.000	3200.000	1000.000	8963.000	820.000		10571.000	82057.000
0.102	2350.000	3360.000	1000.000	9757.000	888.000		11352.000	88830.000
0.096	2450.000	3520.000	1000.000	10393.000	949.000		11979.000	94915.000
0.094	2550.000	3680.000	1000.000	10647.000	982.000		12271.000	98298.000
0.091	2650.000	3840.000	1000.000	10970.000	992.000		12524.000	99232.000
0.083	2750.000	4000.000	1000.000	12084.000	1106.000	13698.000	110699.000
0.081	2850.000	4160.000	1000.000	12381.000	1147.000	14031.000	114734.000
0.070	2950.000	4320.000	1000.000	14239.000	1299.000	15910.000	129936.000
0.072	3050.000	4480.000	1000.000	13936.000	1282.000	15629.000	128253.000
0.070	3150.000	4640.000	1000.000	14371.000	1320.000	16014.000	132097.000
0.060	3250.000	4800.000	1000.000	16633.000	1532.000	18379.000	153287.000
0.058	3350.000	4960.000	1000.000	17380.000	1591.000	19082.000	159126.000
0.057	3450.000	5120.000	1000.000	17539.000	1629.000	19238.000	162911.000
0.053	3550.000	5280.000	1000.000	18858.000	1737.000	20602.000	173802.000
