P			T(ns)		T(точки)	n	N		Exposition(ms)	Ch1		Ch2		SS	Temp
0.003537898212209549	7050.000	5440.000	100.000	22089.000	5132.000	22421.000	256612.000	332.000	0.230
0.0038189905884829893	7150.000	5520.000	100.000	20982.000	4896.000	21294.000	244847.000	312.000	0.230
0.004280145759551641	7250.000	5600.000	100.000	18861.000	4409.000	19167.000	220466.000	306.000	0.230
0.004254045598232826	7350.000	5680.000	100.000	19571.000	4552.000	19849.000	227623.000	278.000	0.230
0.003996906594652063	7450.000	5760.000	100.000	20121.000	4698.000	20430.000	234915.000	309.000	0.230
0.003953321577824065	7550.000	5840.000	100.000	19777.000	4583.000	20108.000	229195.000	331.000	0.230
0.003992413948395268	7650.000	5920.000	100.000	20454.000	4758.000	20749.000	237941.000	295.000	0.230
0.0034661206230332895	7750.000	6000.000	100.000	22725.000	5270.000	23050.000	263542.000	325.000	0.230
0.004581197610362515	7850.000	6080.000	100.000	18472.000	4285.000	18735.000	214291.000	263.000	0.230
0.00328471005671064	7950.000	6160.000	100.000	23811.000	5503.000	24141.000	275169.000	330.000	0.230
0.0037328434475385535	8050.000	6240.000	100.000	21505.000	4987.000	21814.000	249363.000	309.000	0.230
0.003967933487666038	8150.000	6320.000	100.000	20425.000	4761.000	20727.000	238091.000	302.000	0.230
0.0037058776878906696	8250.000	6400.000	100.000	21704.000	5025.000	22011.000	251304.000	307.000	0.230
0.004142544188885207	8350.000	6480.000	100.000	19602.000	4542.000	19901.000	227115.000	299.000	0.230
0.003180287020771286	8450.000	6560.000	100.000	24454.000	5615.000	24787.000	280773.000	333.000	0.230
0.003851169402295346	8550.000	6640.000	100.000	20932.000	4931.000	21241.000	246584.000	309.000	0.230
0.004151126863987153	8650.000	6720.000	100.000	19742.000	4595.000	20034.000	229758.000	292.000	0.230
0.0025383200711291986	8750.000	6800.000	100.000	28771.000	6634.000	29155.000	331736.000	384.000	0.230
0.0032672892185086773	8850.000	6880.000	100.000	23650.000	5571.000	23995.000	278582.000	345.000	0.230
0.002645418437958405	8950.000	6960.000	100.000	28890.000	6778.000	29243.000	338944.000	353.000	0.230
0.0028183771565799573	9050.000	7040.000	100.000	26957.000	6261.000	27312.000	313077.000	355.000	0.230
0.003714043476183797	9150.000	7120.000	100.000	21394.000	4947.000	21711.000	247397.000	317.000	0.230
0.0024611235089997863	9250.000	7200.000	100.000	30021.000	6991.000	30399.000	349606.000	378.000	0.230
0.002447491098667341	9350.000	7280.000	100.000	30289.000	7022.000	30663.000	351118.000	374.000	0.230
0.0031307883885662263	9450.000	7360.000	100.000	24877.000	5829.000	25214.000	291472.000	337.000	0.230
0.0029730942101575575	9550.000	7440.000	100.000	26366.000	6114.000	26695.000	305747.000	329.000	0.230
0.002482607195986853	9650.000	7520.000	100.000	29911.000	6988.000	30286.000	349439.000	375.000	0.230
0.002423826153711589	9750.000	7600.000	100.000	30332.000	7020.000	30712.000	351057.000	380.000	0.230
0.0032535686829394733	9850.000	7680.000	100.000	24636.000	5805.000	24950.000	290299.000	314.000	0.230
0.0026225257170448143	9950.000	7760.000	100.000	29456.000	6855.000	29798.000	342778.000	342.000	0.230
0.0025638158714609183	10050.000	7840.000	100.000	29647.000	6944.000	30004.000	347242.000	357.000	0.230
0.002309341620839346	10150.000	7920.000	100.000	31693.000	7442.000	32081.000	372147.000	388.000	0.230
0.0021403607176336144	10250.000	8000.000	100.000	34463.000	8044.000	34843.000	402254.000	380.000	0.230
0.003173845263166877	10350.000	8080.000	100.000	24863.000	5826.000	25189.000	291311.000	326.000	0.230
0.0026683662977643606	10450.000	8160.000	100.000	28880.000	6772.000	29226.000	338611.000	346.000	0.230
0.00262993368882229	10550.000	8240.000	100.000	29329.000	6948.000	29677.000	347416.000	348.000	0.230
0.0018933196408864215	10650.000	8320.000	100.000	37157.000	8638.000	37572.000	431912.000	415.000	0.230
0.0024331924142374332	10750.000	8400.000	100.000	31132.000	7221.000	31489.000	361069.000	357.000	0.230
0.002206664258540369	10850.000	8480.000	100.000	33016.000	7714.000	33406.000	385741.000	390.000	0.230
0.0024962053237582247	10950.000	8560.000	100.000	30507.000	7108.000	30861.000	355427.000	354.000	0.230
0.0018145716363530816	11050.000	8640.000	100.000	38159.000	8876.000	38586.000	443845.000	427.000	0.230
0.001685530440248153	11150.000	8720.000	100.000	39841.000	9335.000	40293.000	466794.000	452.000	0.230
0.0019209651079530215	11250.000	8800.000	100.000	34993.000	8150.000	35442.000	407558.000	449.000	0.230
0.0017491980852937094	11350.000	8880.000	100.000	39215.000	9100.000	39648.000	455025.000	433.000	0.230
0.0025781019639829856	11450.000	8960.000	100.000	29466.000	6890.000	29823.000	344556.000	357.000	0.230
0.0016974069451249122	11550.000	9040.000	100.000	40308.000	9433.000	40746.000	471711.000	438.000	0.230
0.002706810832653372	11650.000	9120.000	100.000	28072.000	6569.000	28429.000	328496.000	357.000	0.230
0.002128131848152766	11750.000	9200.000	100.000	34879.000	8194.000	35256.000	409749.000	377.000	0.230
0.0017377004045075117	11850.000	9280.000	100.000	39486.000	9218.000	39921.000	460953.000	435.000	0.230
