P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2		SS
0.010	8050.000	12480.000	1000.000	96387.000	8795.000	98809.000	879598.000	2422.000
0.010	8150.000	12640.000	1000.000	95524.000	8620.000	97960.000	862097.000	2436.000
0.010	8250.000	12800.000	1000.000	104549.000	9472.000	107040.000	947274.000	2491.000
0.009	8350.000	12960.000	1000.000	111665.000	10102.000	114241.000	1010252.000	2576.000
0.009	8450.000	13120.000	1000.000	111283.000	10104.000	113962.000	1010429.000	2679.000
0.008	8550.000	13280.000	1000.000	119541.000	10825.000	122262.000	1082540.000	2721.000
0.008	8650.000	13440.000	1000.000	119899.000	10849.000	122600.000	1084983.000	2701.000
0.009	8750.000	13600.000	1000.000	117434.000	10604.000	120185.000	1060514.000	2751.000
0.008	8850.000	13760.000	1000.000	125084.000	11321.000	127836.000	1132190.000	2752.000
0.008	8950.000	13920.000	1000.000	127943.000	11614.000	130771.000	1161469.000	2828.000
0.008	9050.000	14080.000	1000.000	124153.000	11245.000	126833.000	1124606.000	2680.000
0.008	9150.000	14240.000	1000.000	126174.000	11436.000	128946.000	1143721.000	2772.000
0.007	9250.000	14400.000	1000.000	134749.000	12185.000	138011.000	1218578.000	2858.000
0.007	9350.000	14560.000	1000.000	138219.000	12631.000	142405.000	1263151.000	2953.000
0.007	9450.000	14720.000	1000.000	143537.000	13075.000	147776.000	1307554.000	2977.000
