P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2		SS
0.257	850.000		960.000		1000.000	3893.000	352.000		5515.000	35288.000	1622.000
0.272	950.000		1120.000	1000.000	3678.000	333.000		5226.000	33313.000	1548.000
0.248	1050.000	1280.000	1000.000	4032.000	363.000		5569.000	36323.000	1537.000
0.239	1150.000	1440.000	1000.000	4178.000	385.000		5687.000	38580.000	1509.000
0.215	1250.000	1600.000	1000.000	4647.000	415.000		6238.000	41532.000	1591.000
0.207	1350.000	1760.000	1000.000	4823.000	437.000		6343.000	43709.000	1520.000
0.188	1450.000	1920.000	1000.000	5306.000	481.000		6891.000	48131.000	1585.000
0.174	1550.000	2080.000	1000.000	5753.000	524.000		7311.000	52441.000	1558.000
0.168	1650.000	2240.000	1000.000	5952.000	539.000		7534.000	53968.000	1582.000
0.155	1750.000	2400.000	1000.000	6438.000	583.000		8006.000	58353.000	1568.000
0.160	1850.000	2560.000	1000.000	6240.000	562.000		7733.000	56234.000	1493.000
0.139	1950.000	2720.000	1000.000	7216.000	654.000		8731.000	65482.000	1515.000
0.133	2050.000	2880.000	1000.000	7491.000	677.000		9029.000	67790.000	1538.000
0.121	2150.000	3040.000	1000.000	8277.000	735.000		9843.000	73525.000	1566.000
0.116	2250.000	3200.000	1000.000	8615.000	773.000		10160.000	77332.000	1545.000
0.112	2350.000	3360.000	1000.000	8918.000	798.000		10519.000	79840.000	1601.000
0.109	2450.000	3520.000	1000.000	9151.000	829.000		10740.000	82969.000	1589.000
0.099	2550.000	3680.000	1000.000	10069.000	904.000		11680.000	90501.000	1611.000
0.100	2650.000	3840.000	1000.000	9967.000	881.000		11556.000	88139.000	1589.000
0.092	2750.000	4000.000	1000.000	10846.000	979.000		12416.000	97959.000	1570.000
0.085	2850.000	4160.000	1000.000	11724.000	1039.000	13322.000	103993.000	1598.000
0.081	2950.000	4320.000	1000.000	12412.000	1113.000	14042.000	111360.000	1630.000
0.080	3050.000	4480.000	1000.000	12458.000	1120.000	14061.000	112100.000	1602.000
0.074	3150.000	4640.000	1000.000	13444.000	1218.000	15044.000	121878.000	1600.000
0.072	3250.000	4800.000	1000.000	13848.000	1245.000	15454.000	124517.000	1606.000
0.071	3350.000	4960.000	1000.000	14053.000	3632.000	15720.000	363218.000	1667.000
0.064	3450.000	5120.000	1000.000	15548.000	1382.000	17193.000	138269.000	1645.000
0.061	3550.000	5280.000	1000.000	16337.000	1463.000	18000.000	146380.000	1663.000
0.058	3650.000	5440.000	1000.000	17233.000	1559.000	18845.000	155934.000	1612.000
0.056	3750.000	5600.000	1000.000	17713.000	1606.000	19375.000	160701.000	1662.000
0.050	3850.000	5760.000	1000.000	19910.000	1806.000	21623.000	180694.000	1713.000
0.050	3950.000	5920.000	1000.000	20119.000	1833.000	21841.000	183403.000	1722.000
0.049	4050.000	6080.000	1000.000	20292.000	1835.000	21984.000	183582.000	1691.000
0.044	4150.000	6240.000	1000.000	22959.000	2076.000	24662.000	207609.000	1703.000
0.039	4250.000	6400.000	1000.000	25391.000	2298.000	27219.000	229822.000	1828.000
0.041	4350.000	6560.000	1000.000	24249.000	2195.000	25999.000	219578.000	1750.000
0.038	4450.000	6720.000	1000.000	26593.000	2406.000	28365.000	240614.000	1772.000
0.037	4550.000	6880.000	1000.000	27368.000	2482.000	29114.000	248224.000	1746.000
0.037	4650.000	7040.000	1000.000	27061.000	2451.000	28840.000	245167.000	1779.000
0.034	4750.000	7200.000	1000.000	29405.000	2637.000	31153.000	263727.000	1748.000
0.032	4850.000	7360.000	1000.000	30853.000	2792.000	32712.000	279257.000	1859.000
0.030	4950.000	7520.000	1000.000	32870.000	2964.000	34673.000	296461.000	1803.000
0.030	5050.000	7680.000	1000.000	33410.000	3008.000	35266.000	300854.000	1856.000
0.030	5150.000	7840.000	1000.000	33856.000	3079.000	35676.000	307953.000	1820.000
0.027	5250.000	8000.000	1000.000	37337.000	3366.000	39221.000	336654.000	1884.000
0.027	5350.000	8160.000	1000.000	37161.000	3354.000	39000.000	335434.000	1839.000
0.026	5450.000	8320.000	1000.000	38405.000	3478.000	40280.000	347878.000	1875.000
0.024	5550.000	8480.000	1000.000	41285.000	3724.000	43284.000	372493.000	1999.000
0.022	5650.000	8640.000	1000.000	45073.000	4096.000	46991.000	409610.000	1918.000
0.022	5750.000	8800.000	1000.000	45642.000	4125.000	47591.000	412598.000	1949.000
0.020	5850.000	8960.000	1000.000	49104.000	4494.000	51174.000	449483.000	2070.000
0.021	5950.000	9120.000	1000.000	47002.000	4256.000	48919.000	425658.000	1917.000
0.019	6050.000	9280.000	1000.000	51749.000	4722.000	53721.000	472231.000	1972.000
0.020	6150.000	9440.000	1000.000	49114.000	4479.000	51087.000	447993.000	1973.000
0.018	6250.000	9600.000	1000.000	54819.000	4992.000	56889.000	499272.000	2070.000
0.017	6350.000	9760.000	1000.000	58051.000	5329.000	60179.000	532940.000	2128.000
0.017	6450.000	9920.000	1000.000	57754.000	5279.000	59849.000	527991.000	2095.000
0.016	6550.000	10080.000	1000.000	63912.000	5826.000	66080.000	582615.000	2168.000
0.015	6650.000	10240.000	1000.000	64721.000	5867.000	66948.000	586773.000	2227.000
0.015	6750.000	10400.000	1000.000	68627.000	6261.000	70832.000	626199.000	2205.000
0.013	6850.000	10560.000	1000.000	74272.000	6793.000	76652.000	679359.000	2380.000
0.014	6950.000	10720.000	1000.000	71701.000	6568.000	73943.000	656821.000	2242.000
0.013	7050.000	10880.000	1000.000	76130.000	6973.000	78388.000	697318.000	2258.000
0.013	7150.000	11040.000	1000.000	79867.000	7324.000	82229.000	732466.000	2362.000
0.013	7250.000	11200.000	1000.000	79536.000	7321.000	81879.000	732171.000	2343.000
0.012	7350.000	11360.000	1000.000	82305.000	7544.000	84693.000	754455.000	2388.000
0.012	7450.000	11520.000	1000.000	84411.000	7750.000	86821.000	775109.000	2410.000
0.011	7550.000	11680.000	1000.000	89387.000	8161.000	91853.000	816166.000	2466.000
0.011	7650.000	11840.000	1000.000	89386.000	8245.000	91785.000	824574.000	2399.000
0.011	7750.000	12000.000	1000.000	94202.000	8603.000	96712.000	860411.000	2510.000
0.010	7850.000	12160.000	1000.000	96771.000	8884.000	99255.000	888511.000	2484.000
0.010	7950.000	12320.000	1000.000	105026.000	9608.000	107557.000	960859.000	2531.000
0.010	8050.000	12480.000	1000.000	105197.000	9622.000	107737.000	962300.000	2540.000
0.009	8150.000	12640.000	1000.000	112260.000	10309.000	114901.000	1030971.000	2641.000
0.010	8250.000	12800.000	1000.000	104687.000	9578.000	107227.000	957847.000	2540.000
0.009	8350.000	12960.000	1000.000	107232.000	9834.000	109795.000	983482.000	2563.000
0.008	8450.000	13120.000	1000.000	117945.000	10741.000	120657.000	1074158.000	2712.000
0.008	8550.000	13280.000	1000.000	119922.000	10955.000	122670.000	1095564.000	2748.000
0.008	8650.000	13440.000	1000.000	119437.000	10899.000	122205.000	1089946.000	2768.000
0.008	8750.000	13600.000	1000.000	120267.000	11044.000	122952.000	1104491.000	2685.000
0.008	8850.000	13760.000	1000.000	119276.000	10905.000	122005.000	1090549.000	2729.000
0.008	8950.000	13920.000	1000.000	128465.000	11633.000	131247.000	1163383.000	2782.000
0.008	9050.000	14080.000	1000.000	127464.000	11622.000	130200.000	1162293.000	2736.000
0.007	9150.000	14240.000	1000.000	135308.000	12277.000	138208.000	1227821.000	2900.000
0.008	9250.000	14400.000	1000.000	129517.000	11780.000	132715.000	1178071.000	2816.000
0.007	9350.000	14560.000	1000.000	133427.000	12203.000	137408.000	1220379.000	2834.000
0.007	9450.000	14720.000	1000.000	151541.000	13902.000	156001.000	1390283.000	3074.000
