P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2		SS
0.288	850.000		960.000		1000.000	3467.000	306.000		5006.000	30668.000	1539.000
0.270	950.000		1120.000	1000.000	3709.000	326.000		5219.000	32680.000	1510.000
0.238	1050.000	1280.000	1000.000	4207.000	373.000		5760.000	37356.000	1553.000
0.228	1150.000	1440.000	1000.000	4382.000	390.000		5904.000	39080.000	1522.000
0.214	1250.000	1600.000	1000.000	4663.000	424.000		6222.000	42407.000	1559.000
0.201	1350.000	1760.000	1000.000	4986.000	452.000		6535.000	45219.000	1549.000
0.185	1450.000	1920.000	1000.000	5394.000	475.000		6920.000	47576.000	1526.000
0.187	1550.000	2080.000	1000.000	5351.000	485.000		6904.000	48599.000	1553.000
0.166	1650.000	2240.000	1000.000	6008.000	529.000		7561.000	52976.000	1553.000
0.157	1750.000	2400.000	1000.000	6362.000	572.000		7905.000	57256.000	1543.000
0.148	1850.000	2560.000	1000.000	6742.000	608.000		8289.000	60845.000	1547.000
0.149	1950.000	2720.000	1000.000	6730.000	599.000		8228.000	59947.000	1498.000
0.136	2050.000	2880.000	1000.000	7333.000	655.000		8908.000	65567.000	1575.000
0.136	2150.000	3040.000	1000.000	7333.000	1873.000	8841.000	187342.000	1508.000
0.118	2250.000	3200.000	1000.000	8443.000	758.000		10065.000	75901.000	1622.000
0.119	2350.000	3360.000	1000.000	8408.000	749.000		9919.000	74920.000	1511.000
0.106	2450.000	3520.000	1000.000	9393.000	856.000		11027.000	85604.000	1634.000
0.096	2550.000	3680.000	1000.000	10432.000	940.000		12095.000	94014.000	1663.000
0.096	2650.000	3840.000	1000.000	10448.000	936.000		12095.000	93658.000	1647.000
0.085	2750.000	4000.000	1000.000	11760.000	1059.000	13355.000	105929.000	1595.000
0.086	2850.000	4160.000	1000.000	11619.000	1053.000	13250.000	105395.000	1631.000
0.085	2950.000	4320.000	1000.000	11741.000	1042.000	13329.000	104250.000	1588.000
0.081	3050.000	4480.000	1000.000	12272.000	1114.000	13886.000	111501.000	1614.000
0.073	3150.000	4640.000	1000.000	13618.000	1227.000	15234.000	122755.000	1616.000
0.074	3250.000	4800.000	1000.000	13497.000	1218.000	15104.000	121834.000	1607.000
0.067	3350.000	4960.000	1000.000	14984.000	1336.000	16643.000	133655.000	1659.000
0.065	3450.000	5120.000	1000.000	15409.000	1387.000	17048.000	138733.000	1639.000
0.060	3550.000	5280.000	1000.000	16598.000	1492.000	18227.000	149241.000	1629.000
0.059	3650.000	5440.000	1000.000	16813.000	1518.000	18484.000	151879.000	1671.000
0.053	3750.000	5600.000	1000.000	18722.000	1675.000	20430.000	167592.000	1708.000
0.054	3850.000	5760.000	1000.000	18518.000	1693.000	20169.000	169403.000	1651.000
0.051	3950.000	5920.000	1000.000	19500.000	1721.000	21176.000	172152.000	1676.000
0.048	4050.000	6080.000	1000.000	20984.000	1883.000	22716.000	188354.000	1732.000
0.046	4150.000	6240.000	1000.000	21550.000	1958.000	23249.000	195886.000	1699.000
0.045	4250.000	6400.000	1000.000	22365.000	2021.000	24076.000	202133.000	1711.000
0.040	4350.000	6560.000	1000.000	25283.000	2309.000	27086.000	230968.000	1803.000
0.039	4450.000	6720.000	1000.000	25804.000	2332.000	27526.000	233276.000	1722.000
0.036	4550.000	6880.000	1000.000	27495.000	2499.000	29331.000	249938.000	1836.000
0.036	4650.000	7040.000	1000.000	27750.000	2516.000	29546.000	251649.000	1796.000
0.035	4750.000	7200.000	1000.000	28379.000	2560.000	30185.000	256060.000	1806.000
0.033	4850.000	7360.000	1000.000	30740.000	2777.000	32631.000	277772.000	1891.000
0.032	4950.000	7520.000	1000.000	31601.000	2873.000	33491.000	287366.000	1890.000
0.032	5050.000	7680.000	1000.000	31311.000	2840.000	33069.000	284021.000	1758.000
0.027	5150.000	7840.000	1000.000	36410.000	3307.000	38261.000	330760.000	1851.000
0.027	5250.000	8000.000	1000.000	37170.000	3371.000	39057.000	337160.000	1887.000
0.027	5350.000	8160.000	1000.000	37344.000	3382.000	39227.000	338254.000	1883.000
0.026	5450.000	8320.000	1000.000	38296.000	3457.000	40192.000	345727.000	1896.000
0.025	5550.000	8480.000	1000.000	40562.000	3683.000	42458.000	368343.000	1896.000
0.023	5650.000	8640.000	1000.000	42839.000	3884.000	44731.000	388446.000	1892.000
0.024	5750.000	8800.000	1000.000	41582.000	3772.000	43478.000	377253.000	1896.000
0.022	5850.000	8960.000	1000.000	45374.000	4110.000	47354.000	411020.000	1980.000
0.020	5950.000	9120.000	1000.000	49899.000	4521.000	51952.000	452204.000	2053.000
0.020	6050.000	9280.000	1000.000	51154.000	4648.000	53175.000	464834.000	2021.000
0.019	6150.000	9440.000	1000.000	53978.000	4899.000	56083.000	489929.000	2105.000
0.019	6250.000	9600.000	1000.000	53885.000	4873.000	55933.000	487406.000	2048.000
0.018	6350.000	9760.000	1000.000	56352.000	5106.000	58449.000	510621.000	2097.000
0.018	6450.000	9920.000	1000.000	56528.000	5131.000	58580.000	513202.000	2052.000
0.018	6550.000	10080.000	1000.000	56899.000	5171.000	58961.000	517193.000	2062.000
0.016	6650.000	10240.000	1000.000	63503.000	5761.000	65731.000	576146.000	2228.000
0.016	6750.000	10400.000	1000.000	63097.000	5733.000	65226.000	573333.000	2129.000
0.015	6850.000	10560.000	1000.000	65182.000	5917.000	67360.000	591735.000	2178.000
0.014	6950.000	10720.000	1000.000	70011.000	6322.000	72218.000	632308.000	2207.000
0.014	7050.000	10880.000	1000.000	71970.000	6523.000	74189.000	652398.000	2219.000
0.013	7150.000	11040.000	1000.000	74993.000	6846.000	77277.000	684669.000	2284.000
0.013	7250.000	11200.000	1000.000	76000.000	6885.000	78329.000	688599.000	2329.000
0.013	7350.000	11360.000	1000.000	78478.000	7097.000	80770.000	709810.000	2292.000
0.012	7450.000	11520.000	1000.000	82003.000	7456.000	84357.000	745689.000	2354.000
0.012	7550.000	11680.000	1000.000	81604.000	7407.000	83892.000	740742.000	2288.000
0.011	7650.000	11840.000	1000.000	87389.000	7940.000	89791.000	794093.000	2402.000
0.011	7750.000	12000.000	1000.000	90631.000	8199.000	93045.000	820010.000	2414.000
0.011	7850.000	12160.000	1000.000	91572.000	8256.000	94011.000	825671.000	2439.000
0.011	7950.000	12320.000	1000.000	92678.000	8370.000	95099.000	837115.000	2421.000
0.010	8050.000	12480.000	1000.000	102117.000	9297.000	104680.000	929819.000	2563.000
0.011	8150.000	12640.000	1000.000	94076.000	8549.000	96544.000	855000.000	2468.000
