P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2		SS
0.293	850.000		960.000		1000.000	3409.000	294.000		4969.000	29453.000	1560.000
0.291	950.000		1120.000	1000.000	3434.000	308.000		4900.000	30810.000	1466.000
0.253	1050.000	1280.000	1000.000	3952.000	345.000		5475.000	34513.000	1523.000
0.234	1150.000	1440.000	1000.000	4273.000	382.000		5762.000	38230.000	1489.000
0.219	1250.000	1600.000	1000.000	4560.000	411.000		6073.000	41117.000	1513.000
0.200	1350.000	1760.000	1000.000	4994.000	439.000		6530.000	43995.000	1536.000
0.193	1450.000	1920.000	1000.000	5171.000	455.000		6696.000	45570.000	1525.000
0.185	1550.000	2080.000	1000.000	5412.000	489.000		6973.000	48913.000	1561.000
0.175	1650.000	2240.000	1000.000	5722.000	515.000		7237.000	51568.000	1515.000
0.166	1750.000	2400.000	1000.000	6014.000	535.000		7521.000	53540.000	1507.000
0.147	1850.000	2560.000	1000.000	6791.000	612.000		8325.000	61242.000	1534.000
0.141	1950.000	2720.000	1000.000	7083.000	637.000		8662.000	63742.000	1579.000
0.134	2050.000	2880.000	1000.000	7445.000	668.000		8970.000	66848.000	1525.000
0.133	2150.000	3040.000	1000.000	7521.000	669.000		9061.000	66994.000	1540.000
0.119	2250.000	3200.000	1000.000	8436.000	766.000		9996.000	76700.000	1560.000
0.111	2350.000	3360.000	1000.000	9030.000	800.000		10584.000	80079.000	1554.000
0.107	2450.000	3520.000	1000.000	9348.000	841.000		10904.000	84136.000	1556.000
0.097	2550.000	3680.000	1000.000	10283.000	942.000		11919.000	94212.000	1636.000
0.099	2650.000	3840.000	1000.000	10085.000	896.000		11674.000	89664.000	1589.000
0.090	2750.000	4000.000	1000.000	11055.000	982.000		12657.000	98301.000	1602.000
0.087	2850.000	4160.000	1000.000	11476.000	1053.000	13063.000	105306.000	1587.000
0.081	2950.000	4320.000	1000.000	12387.000	1119.000	14020.000	111926.000	1633.000
0.074	3050.000	4480.000	1000.000	13477.000	1215.000	15158.000	121598.000	1681.000
0.074	3150.000	4640.000	1000.000	13517.000	1221.000	15185.000	122198.000	1668.000
0.069	3250.000	4800.000	1000.000	14526.000	1327.000	16198.000	132758.000	1672.000
0.066	3350.000	4960.000	1000.000	15185.000	1367.000	16888.000	136769.000	1703.000
0.064	3450.000	5120.000	1000.000	15600.000	1398.000	17230.000	139871.000	1630.000
0.058	3550.000	5280.000	1000.000	17192.000	1536.000	18877.000	153674.000	1685.000
0.056	3650.000	5440.000	1000.000	18005.000	1645.000	19710.000	164553.000	1705.000
0.054	3750.000	5600.000	1000.000	18584.000	1656.000	20277.000	165693.000	1693.000
0.053	3850.000	5760.000	1000.000	18921.000	1717.000	20620.000	171736.000	1696.000
0.052	3950.000	5920.000	1000.000	19154.000	1731.000	20856.000	173195.000	1702.000
0.047	4050.000	6080.000	1000.000	21468.000	1937.000	23201.000	193715.000	1729.000
0.047	4150.000	6240.000	1000.000	21158.000	1912.000	22840.000	191241.000	1682.000
0.043	4250.000	6400.000	1000.000	23287.000	2094.000	25012.000	209475.000	1725.000
0.043	4350.000	6560.000	1000.000	23399.000	2107.000	25108.000	210728.000	1709.000
0.040	4450.000	6720.000	1000.000	25285.000	2267.000	27069.000	226715.000	1784.000
0.038	4550.000	6880.000	1000.000	26383.000	2413.000	28167.000	241358.000	1784.000
0.034	4650.000	7040.000	1000.000	29430.000	2680.000	31257.000	268024.000	1827.000
0.036	4750.000	7200.000	1000.000	27583.000	2504.000	29337.000	250467.000	1754.000
0.034	4850.000	7360.000	1000.000	29745.000	2697.000	31555.000	269760.000	1810.000
0.030	4950.000	7520.000	1000.000	32804.000	2980.000	34689.000	298046.000	1885.000
0.029	5050.000	7680.000	1000.000	34693.000	3133.000	36596.000	313403.000	1903.000
0.028	5150.000	7840.000	1000.000	36290.000	3308.000	38227.000	330883.000	1937.000
0.027	5250.000	8000.000	1000.000	37287.000	3378.000	39187.000	337887.000	1900.000
0.026	5350.000	8160.000	1000.000	38774.000	3539.000	40698.000	353935.000	1924.000
0.027	5450.000	8320.000	1000.000	36633.000	3311.000	38498.000	331159.000	1865.000
0.025	5550.000	8480.000	1000.000	40415.000	3673.000	42397.000	367376.000	1982.000
0.023	5650.000	8640.000	1000.000	43007.000	3898.000	44981.000	389855.000	1974.000
0.023	5750.000	8800.000	1000.000	43940.000	3984.000	45874.000	398487.000	1934.000
0.024	5850.000	8960.000	1000.000	41839.000	3802.000	43770.000	380259.000	1932.000
0.021	5950.000	9120.000	1000.000	48749.000	4435.000	50778.000	443587.000	2029.000
0.020	6050.000	9280.000	1000.000	50901.000	4600.000	52905.000	460056.000	2004.000
0.020	6150.000	9440.000	1000.000	51262.000	4687.000	53318.000	468752.000	2056.000
0.018	6250.000	9600.000	1000.000	54288.000	4948.000	56375.000	494869.000	2087.000
0.019	6350.000	9760.000	1000.000	53453.000	4880.000	55507.000	488042.000	2054.000
0.017	6450.000	9920.000	1000.000	58941.000	5375.000	61103.000	537599.000	2162.000
0.017	6550.000	10080.000	1000.000	59868.000	5459.000	61959.000	545954.000	2091.000
0.016	6650.000	10240.000	1000.000	64484.000	5858.000	66650.000	585888.000	2166.000
0.015	6750.000	10400.000	1000.000	65428.000	5942.000	67612.000	594305.000	2184.000
0.015	6850.000	10560.000	1000.000	66399.000	6013.000	68600.000	601374.000	2201.000
0.014	6950.000	10720.000	1000.000	71275.000	6536.000	73512.000	653708.000	2237.000
0.014	7050.000	10880.000	1000.000	73408.000	6687.000	75714.000	668766.000	2306.000
0.013	7150.000	11040.000	1000.000	74135.000	6789.000	76377.000	679013.000	2242.000
0.013	7250.000	11200.000	1000.000	78267.000	7144.000	80553.000	714490.000	2286.000
0.012	7350.000	11360.000	1000.000	80401.000	7315.000	82724.000	731545.000	2323.000
0.012	7450.000	11520.000	1000.000	81609.000	7429.000	83940.000	742987.000	2331.000
0.012	7550.000	11680.000	1000.000	85084.000	7758.000	87391.000	775836.000	2307.000
0.012	7650.000	11840.000	1000.000	86825.000	7919.000	89134.000	791989.000	2309.000
0.011	7750.000	12000.000	1000.000	89202.000	8153.000	91580.000	815400.000	2378.000
0.011	7850.000	12160.000	1000.000	93598.000	8548.000	96091.000	854891.000	2493.000
0.010	7950.000	12320.000	1000.000	100719.000	9155.000	103217.000	915523.000	2498.000
0.010	8050.000	12480.000	1000.000	99711.000	9024.000	102227.000	902510.000	2516.000
0.010	8150.000	12640.000	1000.000	102280.000	9269.000	104823.000	926963.000	2543.000
0.010	8250.000	12800.000	1000.000	105161.000	9539.000	107627.000	953950.000	2466.000
0.009	8350.000	12960.000	1000.000	106979.000	9704.000	109544.000	970465.000	2565.000
0.009	8450.000	13120.000	1000.000	106714.000	9681.000	109263.000	968169.000	2549.000
0.009	8550.000	13280.000	1000.000	111324.000	10084.000	113912.000	1008454.000	2588.000
0.008	8650.000	13440.000	1000.000	120560.000	10910.000	123339.000	1091076.000	2779.000
0.008	8750.000	13600.000	1000.000	118804.000	10782.000	121574.000	1078319.000	2770.000
0.008	8850.000	13760.000	1000.000	119105.000	10818.000	121791.000	1081900.000	2686.000
0.008	8950.000	13920.000	1000.000	127204.000	11514.000	130033.000	1151461.000	2829.000
0.008	9050.000	14080.000	1000.000	130674.000	11905.000	133537.000	1190551.000	2863.000
0.008	9150.000	14240.000	1000.000	132588.000	12005.000	135442.000	1200556.000	2854.000
