P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2		SS
0.267	850.000		960.000		1000.000	3744.000	337.000		5364.000	33708.000	1620.000
0.270	950.000		1120.000	1000.000	3698.000	339.000		5226.000	33966.000	1528.000
0.237	1050.000	1280.000	1000.000	4224.000	372.000		5762.000	37213.000	1538.000
0.242	1150.000	1440.000	1000.000	4127.000	377.000		5627.000	37787.000	1500.000
0.231	1250.000	1600.000	1000.000	4324.000	392.000		5808.000	39240.000	1484.000
0.210	1350.000	1760.000	1000.000	4756.000	421.000		6256.000	42134.000	1500.000
0.199	1450.000	1920.000	1000.000	5015.000	446.000		6504.000	44697.000	1489.000
0.171	1550.000	2080.000	1000.000	5831.000	523.000		7419.000	52359.000	1588.000
0.167	1650.000	2240.000	1000.000	5979.000	534.000		7553.000	53434.000	1574.000
0.162	1750.000	2400.000	1000.000	6172.000	553.000		7681.000	55398.000	1509.000
0.142	1850.000	2560.000	1000.000	7067.000	642.000		8679.000	64234.000	1612.000
0.145	1950.000	2720.000	1000.000	6920.000	622.000		8428.000	62259.000	1508.000
0.130	2050.000	2880.000	1000.000	7680.000	689.000		9268.000	68985.000	1588.000
0.127	2150.000	3040.000	1000.000	7881.000	717.000		9451.000	71799.000	1570.000
0.120	2250.000	3200.000	1000.000	8317.000	744.000		9869.000	74438.000	1552.000
0.111	2350.000	3360.000	1000.000	9002.000	822.000		10605.000	82208.000	1603.000
0.103	2450.000	3520.000	1000.000	9749.000	884.000		11299.000	88434.000	1550.000
0.104	2550.000	3680.000	1000.000	9602.000	868.000		11188.000	86854.000	1586.000
0.093	2650.000	3840.000	1000.000	10731.000	969.000		12368.000	96960.000	1637.000
0.090	2750.000	4000.000	1000.000	11154.000	1005.000	12735.000	100552.000	1581.000
0.083	2850.000	4160.000	1000.000	12073.000	1089.000	13725.000	108908.000	1652.000
0.082	2950.000	4320.000	1000.000	12214.000	1098.000	13832.000	109876.000	1618.000
0.081	3050.000	4480.000	1000.000	12272.000	1108.000	13878.000	110817.000	1606.000
0.072	3150.000	4640.000	1000.000	13843.000	1254.000	15460.000	125443.000	1617.000
0.071	3250.000	4800.000	1000.000	14113.000	1274.000	15716.000	127463.000	1603.000
0.066	3350.000	4960.000	1000.000	15166.000	1383.000	16826.000	138402.000	1660.000
0.063	3450.000	5120.000	1000.000	15780.000	1446.000	17403.000	144650.000	1623.000
0.059	3550.000	5280.000	1000.000	16958.000	1548.000	18624.000	154885.000	1666.000
0.055	3650.000	5440.000	1000.000	18246.000	1647.000	19934.000	164709.000	1688.000
0.055	3750.000	5600.000	1000.000	18108.000	1635.000	19776.000	163567.000	1668.000
0.053	3850.000	5760.000	1000.000	18904.000	1694.000	20584.000	169456.000	1680.000
0.049	3950.000	5920.000	1000.000	20614.000	1846.000	22316.000	184661.000	1702.000
0.046	4050.000	6080.000	1000.000	21561.000	1950.000	23283.000	195101.000	1722.000
0.045	4150.000	6240.000	1000.000	22207.000	2014.000	23949.000	201431.000	1742.000
0.042	4250.000	6400.000	1000.000	23901.000	2167.000	25648.000	216724.000	1747.000
0.041	4350.000	6560.000	1000.000	24343.000	2216.000	26114.000	221673.000	1771.000
