P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2
0.288	850.000		960.000		1000.000	3472.000	324.000		5048.000	32481.000
0.245	950.000		1120.000	1000.000	4074.000	378.000		5649.000	37857.000
0.252	1050.000	1280.000	1000.000	3963.000	362.000		5440.000	36210.000
0.232	1150.000	1440.000	1000.000	4303.000	392.000		5799.000	39247.000
0.213	1250.000	1600.000	1000.000	4693.000	425.000		6243.000	42597.000
0.207	1350.000	1760.000	1000.000	4822.000	447.000		6341.000	44785.000
0.196	1450.000	1920.000	1000.000	5099.000	485.000		6671.000	48526.000
0.170	1550.000	2080.000	1000.000	5896.000	528.000		7436.000	52894.000
0.162	1650.000	2240.000	1000.000	6186.000	564.000		7732.000	56461.000
0.152	1750.000	2400.000	1000.000	6558.000	591.000		8131.000	59110.000
0.147	1850.000	2560.000	1000.000	6788.000	600.000		8304.000	60081.000
0.131	1950.000	2720.000	1000.000	7645.000	698.000		9245.000	69894.000
0.126	2050.000	2880.000	1000.000	7928.000	717.000		9488.000	71744.000
0.118	2150.000	3040.000	1000.000	8482.000	766.000		10099.000	76647.000
0.111	2250.000	3200.000	1000.000	8986.000	820.000		10589.000	82066.000
0.113	2350.000	3360.000	1000.000	8848.000	803.000		10451.000	80363.000
0.096	2450.000	3520.000	1000.000	10464.000	959.000		12136.000	95962.000
0.095	2550.000	3680.000	1000.000	10484.000	959.000		12095.000	95944.000
0.090	2650.000	3840.000	1000.000	11070.000	1015.000	12700.000	101588.000
0.089	2750.000	4000.000	1000.000	11275.000	1027.000	12881.000	102775.000
0.082	2850.000	4160.000	1000.000	12155.000	1112.000	13777.000	111254.000
0.075	2950.000	4320.000	1000.000	13376.000	1231.000	15015.000	123159.000
0.071	3050.000	4480.000	1000.000	14118.000	1283.000	15803.000	128349.000
0.069	3150.000	4640.000	1000.000	14457.000	1338.000	16109.000	133871.000
0.065	3250.000	4800.000	1000.000	15319.000	1387.000	16943.000	138730.000
0.061	3350.000	4960.000	1000.000	16420.000	1530.000	18100.000	153085.000
0.058	3450.000	5120.000	1000.000	17141.000	1561.000	18769.000	156156.000
0.058	3550.000	5280.000	1000.000	17351.000	1598.000	18984.000	159819.000
0.052	3650.000	5440.000	1000.000	19264.000	1778.000	20947.000	177901.000
0.049	3750.000	5600.000	1000.000	20542.000	1879.000	22231.000	187996.000
0.050	3850.000	5760.000	1000.000	20171.000	1858.000	21884.000	185902.000
0.046	3950.000	5920.000	1000.000	21523.000	1959.000	23235.000	195987.000
0.041	4050.000	6080.000	1000.000	24329.000	2221.000	26079.000	222120.000
0.042	4150.000	6240.000	1000.000	23645.000	2161.000	25363.000	216197.000
0.039	4250.000	6400.000	1000.000	25698.000	2352.000	27461.000	235227.000
0.038	4350.000	6560.000	1000.000	26241.000	2399.000	27990.000	239981.000
0.036	4450.000	6720.000	1000.000	27891.000	2573.000	29674.000	257383.000
0.033	4550.000	6880.000	1000.000	30240.000	2785.000	32082.000	278582.000
0.032	4650.000	7040.000	1000.000	30870.000	2859.000	32683.000	285918.000
0.031	4750.000	7200.000	1000.000	32445.000	2964.000	34291.000	296427.000
0.029	4850.000	7360.000	1000.000	33908.000	3129.000	35791.000	312964.000
0.028	4950.000	7520.000	1000.000	35518.000	3278.000	37435.000	327855.000
0.027	5050.000	7680.000	1000.000	37366.000	3434.000	39269.000	343413.000
0.025	5150.000	7840.000	1000.000	40262.000	3696.000	42218.000	369610.000
0.024	5250.000	8000.000	1000.000	40884.000	3779.000	42847.000	378005.000
0.024	5350.000	8160.000	1000.000	41772.000	3827.000	43721.000	382806.000
0.022	5450.000	8320.000	1000.000	46134.000	4249.000	48214.000	424945.000
0.022	5550.000	8480.000	1000.000	45474.000	4212.000	47495.000	421239.000
0.021	5650.000	8640.000	1000.000	46671.000	4298.000	48658.000	429835.000
0.019	5750.000	8800.000	1000.000	51964.000	4772.000	53997.000	477262.000
0.020	5850.000	8960.000	1000.000	49503.000	4563.000	51503.000	456398.000
0.017	5950.000	9120.000	1000.000	57455.000	5273.000	59559.000	527400.000
0.018	6050.000	9280.000	1000.000	55872.000	5136.000	57973.000	513663.000
0.018	6150.000	9440.000	1000.000	57091.000	5259.000	59181.000	526008.000
0.016	6250.000	9600.000	1000.000	62987.000	5801.000	65160.000	580136.000
0.015	6350.000	9760.000	1000.000	65467.000	6029.000	67695.000	602975.000
0.015	6450.000	9920.000	1000.000	68120.000	6291.000	70375.000	629213.000
0.014	6550.000	10080.000	1000.000	71791.000	6602.000	74072.000	660253.000
0.015	6650.000	10240.000	1000.000	68025.000	6265.000	70198.000	626563.000
0.013	6750.000	10400.000	1000.000	76937.000	7109.000	79295.000	710989.000
0.013	6850.000	10560.000	1000.000	79485.000	7304.000	81757.000	730450.000
0.013	6950.000	10720.000	1000.000	76663.000	7083.000	78936.000	708327.000
0.012	7050.000	10880.000	1000.000	81389.000	7509.000	83763.000	750986.000
0.011	7150.000	11040.000	1000.000	88535.000	8195.000	90979.000	819601.000
0.011	7250.000	11200.000	1000.000	88930.000	8196.000	91357.000	819662.000
0.011	7350.000	11360.000	1000.000	95062.000	8840.000	97611.000	884055.000
0.010	7450.000	11520.000	1000.000	95703.000	8776.000	98205.000	877713.000
0.011	7550.000	11680.000	1000.000	93849.000	8647.000	96342.000	864776.000
0.010	7650.000	11840.000	1000.000	100694.000	9243.000	103196.000	924399.000
0.010	7750.000	12000.000	1000.000	98305.000	9048.000	100799.000	904899.000
0.010	7850.000	12160.000	1000.000	100218.000	9249.000	102776.000	924946.000
0.009	7950.000	12320.000	1000.000	111098.000	10257.000	113749.000	1025793.000
0.009	8050.000	12480.000	1000.000	111728.000	10327.000	115016.000	1032793.000
0.010	8150.000	12640.000	1000.000	104530.000	9615.000	107226.000	961547.000
0.008	8250.000	12800.000	1000.000	121131.000	11133.000	124470.000	1113370.000
0.008	8350.000	12960.000	1000.000	131619.000	12145.000	134525.000	1214582.000
0.009	8450.000	13120.000	1000.000	116355.000	10735.000	119024.000	1073564.000
0.008	8550.000	13280.000	1000.000	129392.000	11880.000	132207.000	1188077.000
0.008	8650.000	13440.000	1000.000	130970.000	12077.000	133909.000	1207761.000
0.008	8750.000	13600.000	1000.000	133115.000	12285.000	135975.000	1228560.000
0.007	8850.000	13760.000	1000.000	138789.000	12829.000	141984.000	1283020.000
0.007	8950.000	13920.000	1000.000	141311.000	13022.000	144279.000	1302262.000
0.007	9050.000	14080.000	1000.000	147017.000	13536.000	150032.000	1353683.000
0.007	9150.000	14240.000	1000.000	149721.000	13784.000	152787.000	1378479.000
0.007	9250.000	14400.000	1000.000	143819.000	13240.000	147117.000	1324091.000
0.007	9350.000	14560.000	1000.000	151363.000	13946.000	155548.000	1394660.000
0.006	9450.000	14720.000	1000.000	160866.000	14911.000	165333.000	1491146.000
