P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2
0.286	850.000		960.000		1000.000	3494.000	319.000		5048.000	31961.000
0.261	950.000		1120.000	1000.000	3829.000	359.000		5373.000	35989.000
0.258	1050.000	1280.000	1000.000	3872.000	355.000		5366.000	35536.000
0.220	1150.000	1440.000	1000.000	4551.000	412.000		6124.000	41250.000
0.211	1250.000	1600.000	1000.000	4734.000	425.000		6271.000	42599.000
0.196	1350.000	1760.000	1000.000	5104.000	476.000		6686.000	47660.000
0.180	1450.000	1920.000	1000.000	5552.000	505.000		7137.000	50528.000
0.165	1550.000	2080.000	1000.000	6043.000	550.000		7598.000	55074.000
0.167	1650.000	2240.000	1000.000	5981.000	552.000		7516.000	55209.000
0.153	1750.000	2400.000	1000.000	6548.000	593.000		8079.000	59369.000
0.146	1850.000	2560.000	1000.000	6834.000	619.000		8434.000	61938.000
0.135	1950.000	2720.000	1000.000	7425.000	685.000		9048.000	68585.000
0.127	2050.000	2880.000	1000.000	7877.000	718.000		9420.000	71877.000
0.128	2150.000	3040.000	1000.000	7816.000	721.000		9342.000	72148.000
0.110	2250.000	3200.000	1000.000	9096.000	834.000		10675.000	83491.000
0.103	2350.000	3360.000	1000.000	9693.000	895.000		11354.000	89549.000
0.100	2450.000	3520.000	1000.000	9965.000	924.000		11567.000	92495.000
0.093	2550.000	3680.000	1000.000	10768.000	976.000		12346.000	97658.000
0.092	2650.000	3840.000	1000.000	10867.000	986.000		12483.000	98652.000
0.081	2750.000	4000.000	1000.000	12384.000	1156.000	14040.000	115697.000
0.080	2850.000	4160.000	1000.000	12446.000	1138.000	14051.000	113861.000
0.077	2950.000	4320.000	1000.000	13040.000	1204.000	14654.000	120479.000
0.070	3050.000	4480.000	1000.000	14235.000	1304.000	15878.000	130443.000
0.067	3150.000	4640.000	1000.000	14852.000	1367.000	16486.000	136705.000
0.061	3250.000	4800.000	1000.000	16449.000	1509.000	18234.000	150905.000
0.062	3350.000	4960.000	1000.000	16153.000	1476.000	17907.000	147620.000
0.058	3450.000	5120.000	1000.000	17338.000	1575.000	19008.000	157559.000
0.055	3550.000	5280.000	1000.000	18316.000	1681.000	19985.000	168133.000
0.056	3650.000	5440.000	1000.000	17999.000	1643.000	19635.000	164391.000
0.048	3750.000	5600.000	1000.000	20948.000	1941.000	22688.000	194191.000
0.047	3850.000	5760.000	1000.000	21284.000	1975.000	23027.000	197542.000
0.045	3950.000	5920.000	1000.000	22295.000	2040.000	24043.000	204082.000
0.040	4050.000	6080.000	1000.000	24917.000	2293.000	26767.000	229320.000
0.039	4150.000	6240.000	1000.000	25573.000	2350.000	27614.000	235021.000
0.039	4250.000	6400.000	1000.000	25964.000	2392.000	27721.000	239216.000
0.034	4350.000	6560.000	1000.000	29405.000	2720.000	31300.000	272025.000
0.035	4450.000	6720.000	1000.000	28316.000	2601.000	30141.000	260175.000
0.034	4550.000	6880.000	1000.000	29057.000	2660.000	30862.000	266033.000
