P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2
0.262	850.000		960.000		1000.000	3817.000	344.000		5425.000	34478.000
0.256	950.000		1120.000	1000.000	3910.000	356.000		5459.000	35642.000
0.242	1050.000	1280.000	1000.000	4137.000	379.000		5666.000	38000.000
0.226	1150.000	1440.000	1000.000	4425.000	413.000		5960.000	41336.000
0.200	1250.000	1600.000	1000.000	5000.000	458.000		6598.000	45845.000
0.199	1350.000	1760.000	1000.000	5018.000	453.000		6561.000	45337.000
0.182	1450.000	1920.000	1000.000	5496.000	496.000		7033.000	49616.000
0.176	1550.000	2080.000	1000.000	5687.000	523.000		7211.000	52336.000
0.164	1650.000	2240.000	1000.000	6089.000	556.000		7613.000	55641.000
0.155	1750.000	2400.000	1000.000	6463.000	591.000		8021.000	59188.000
0.139	1850.000	2560.000	1000.000	7175.000	654.000		8757.000	65500.000
0.129	1950.000	2720.000	1000.000	7776.000	696.000		9325.000	69619.000
0.123	2050.000	2880.000	1000.000	8114.000	741.000		9679.000	74159.000
0.128	2150.000	3040.000	1000.000	7821.000	727.000		9312.000	72787.000
0.112	2250.000	3200.000	1000.000	8924.000	815.000		10491.000	81597.000
0.111	2350.000	3360.000	1000.000	9016.000	826.000		10611.000	82637.000
0.100	2450.000	3520.000	1000.000	10035.000	910.000		11608.000	91065.000
0.097	2550.000	3680.000	1000.000	10302.000	939.000		11921.000	93962.000
0.093	2650.000	3840.000	1000.000	10699.000	978.000		12290.000	97890.000
0.086	2750.000	4000.000	1000.000	11562.000	1051.000	13168.000	105147.000
0.081	2850.000	4160.000	1000.000	12288.000	1126.000	13885.000	112618.000
0.078	2950.000	4320.000	1000.000	12893.000	1163.000	14531.000	116344.000
0.073	3050.000	4480.000	1000.000	13614.000	1242.000	15214.000	124208.000
0.071	3150.000	4640.000	1000.000	14161.000	1278.000	15755.000	127903.000
0.066	3250.000	4800.000	1000.000	15105.000	1385.000	16767.000	138535.000
0.063	3350.000	4960.000	1000.000	15947.000	1485.000	17579.000	148530.000
0.059	3450.000	5120.000	1000.000	16860.000	1570.000	18470.000	157018.000
0.055	3550.000	5280.000	1000.000	18060.000	1660.000	19730.000	166044.000
0.052	3650.000	5440.000	1000.000	19086.000	1763.000	20787.000	176319.000
0.051	3750.000	5600.000	1000.000	19481.000	1777.000	21109.000	177758.000
0.050	3850.000	5760.000	1000.000	20008.000	1828.000	21662.000	182826.000
0.044	3950.000	5920.000	1000.000	22984.000	2134.000	24758.000	213452.000
0.044	4050.000	6080.000	1000.000	22886.000	2105.000	24570.000	210574.000
0.040	4150.000	6240.000	1000.000	24818.000	2276.000	26585.000	227691.000
0.039	4250.000	6400.000	1000.000	25750.000	2371.000	27492.000	237176.000
0.038	4350.000	6560.000	1000.000	26597.000	2445.000	28370.000	244534.000
0.035	4450.000	6720.000	1000.000	28659.000	2633.000	30472.000	263360.000
0.034	4550.000	6880.000	1000.000	29281.000	2710.000	31040.000	271010.000
0.032	4650.000	7040.000	1000.000	31636.000	2914.000	33530.000	291484.000
0.031	4750.000	7200.000	1000.000	31818.000	2921.000	33622.000	292165.000
0.030	4850.000	7360.000	1000.000	33842.000	3096.000	35689.000	309637.000
0.028	4950.000	7520.000	1000.000	35298.000	3237.000	37168.000	323770.000
0.027	5050.000	7680.000	1000.000	37311.000	3423.000	39190.000	342382.000
0.025	5150.000	7840.000	1000.000	39436.000	3643.000	41403.000	364364.000
0.025	5250.000	8000.000	1000.000	40612.000	3771.000	42521.000	377155.000
0.023	5350.000	8160.000	1000.000	42897.000	3984.000	44869.000	398480.000
0.023	5450.000	8320.000	1000.000	43283.000	3981.000	45180.000	398126.000
0.021	5550.000	8480.000	1000.000	47010.000	4319.000	49035.000	431968.000
0.021	5650.000	8640.000	1000.000	47875.000	4410.000	49929.000	441024.000
0.020	5750.000	8800.000	1000.000	50238.000	4628.000	52290.000	462838.000
0.019	5850.000	8960.000	1000.000	53061.000	4947.000	55121.000	494732.000
0.017	5950.000	9120.000	1000.000	58517.000	5427.000	60730.000	542752.000
0.017	6050.000	9280.000	1000.000	58585.000	5423.000	60701.000	542408.000
0.016	6150.000	9440.000	1000.000	60972.000	5677.000	63218.000	567762.000
0.016	6250.000	9600.000	1000.000	60962.000	5647.000	63142.000	564797.000
