P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2
0.280	850.000		960.000		1000.000	3568.000	318.000		5122.000	31874.000
0.264	950.000		1120.000	1000.000	3783.000	336.000		5253.000	33631.000
0.257	1050.000	1280.000	1000.000	3889.000	352.000		5391.000	35285.000
0.220	1150.000	1440.000	1000.000	4546.000	409.000		6059.000	40975.000
0.222	1250.000	1600.000	1000.000	4500.000	414.000		5997.000	41433.000
0.194	1350.000	1760.000	1000.000	5162.000	476.000		6667.000	47627.000
0.191	1450.000	1920.000	1000.000	5222.000	486.000		6729.000	48610.000
0.174	1550.000	2080.000	1000.000	5762.000	531.000		7328.000	53115.000
0.170	1650.000	2240.000	1000.000	5890.000	537.000		7416.000	53713.000
0.155	1750.000	2400.000	1000.000	6451.000	572.000		7994.000	57217.000
0.150	1850.000	2560.000	1000.000	6674.000	618.000		8241.000	61867.000
0.129	1950.000	2720.000	1000.000	7734.000	695.000		9311.000	69538.000
0.121	2050.000	2880.000	1000.000	8260.000	765.000		9886.000	76512.000
0.121	2150.000	3040.000	1000.000	8239.000	750.000		9787.000	75020.000
0.112	2250.000	3200.000	1000.000	8957.000	824.000		10542.000	82482.000
0.105	2350.000	3360.000	1000.000	9534.000	878.000		11160.000	87892.000
0.101	2450.000	3520.000	1000.000	9869.000	912.000		11470.000	91220.000
0.093	2550.000	3680.000	1000.000	10766.000	987.000		12390.000	98704.000
0.089	2650.000	3840.000	1000.000	11219.000	1038.000	12855.000	103821.000
0.083	2750.000	4000.000	1000.000	12066.000	1113.000	13695.000	111401.000
0.084	2850.000	4160.000	1000.000	11923.000	1097.000	13546.000	109802.000
0.076	2950.000	4320.000	1000.000	13093.000	1191.000	14744.000	119180.000
0.071	3050.000	4480.000	1000.000	14136.000	1288.000	15789.000	128842.000
0.071	3150.000	4640.000	1000.000	14060.000	1313.000	15632.000	131305.000
0.064	3250.000	4800.000	1000.000	15616.000	1425.000	17297.000	142556.000
0.059	3350.000	4960.000	1000.000	16862.000	1540.000	18510.000	154040.000
0.055	3450.000	5120.000	1000.000	18180.000	1677.000	19892.000	167773.000
0.056	3550.000	5280.000	1000.000	17748.000	1653.000	19422.000	165366.000
0.052	3650.000	5440.000	1000.000	19058.000	1746.000	20754.000	174649.000
0.052	3750.000	5600.000	1000.000	19357.000	1777.000	21071.000	177764.000
0.044	3850.000	5760.000	1000.000	22794.000	2091.000	24518.000	209107.000
0.045	3950.000	5920.000	1000.000	22149.000	2035.000	23867.000	203550.000
0.041	4050.000	6080.000	1000.000	24535.000	2259.000	26295.000	225928.000
0.041	4150.000	6240.000	1000.000	24536.000	2228.000	26279.000	222876.000
0.040	4250.000	6400.000	1000.000	24948.000	2276.000	26691.000	227609.000
0.034	4350.000	6560.000	1000.000	29054.000	2657.000	30875.000	265795.000
0.034	4450.000	6720.000	1000.000	29463.000	2729.000	31335.000	272987.000
0.033	4550.000	6880.000	1000.000	30386.000	2780.000	32238.000	278054.000
0.034	4650.000	7040.000	1000.000	29590.000	2726.000	31394.000	272626.000
0.030	4750.000	7200.000	1000.000	33321.000	3056.000	35179.000	305703.000
0.028	4850.000	7360.000	1000.000	35978.000	3312.000	37853.000	331241.000
0.027	4950.000	7520.000	1000.000	36552.000	3361.000	38389.000	336114.000
0.026	5050.000	7680.000	1000.000	38253.000	3530.000	40201.000	353010.000
0.025	5150.000	7840.000	1000.000	39941.000	3687.000	41837.000	368732.000
0.026	5250.000	8000.000	1000.000	38910.000	3610.000	40779.000	361054.000
0.022	5350.000	8160.000	1000.000	45062.000	4167.000	47075.000	416716.000
0.022	5450.000	8320.000	1000.000	45820.000	4231.000	47857.000	423151.000
0.021	5550.000	8480.000	1000.000	47710.000	4414.000	49701.000	441428.000
0.020	5650.000	8640.000	1000.000	49659.000	4561.000	51725.000	456135.000
0.020	5750.000	8800.000	1000.000	50243.000	4637.000	52310.000	463725.000
0.019	5850.000	8960.000	1000.000	53771.000	4980.000	55866.000	498096.000
0.017	5950.000	9120.000	1000.000	58613.000	5396.000	60797.000	539708.000
0.018	6050.000	9280.000	1000.000	56796.000	5237.000	58883.000	523748.000
0.017	6150.000	9440.000	1000.000	57440.000	5317.000	59493.000	531780.000
0.017	6250.000	9600.000	1000.000	60481.000	5570.000	62593.000	557022.000
0.015	6350.000	9760.000	1000.000	67330.000	6271.000	69580.000	627182.000
0.015	6450.000	9920.000	1000.000	67113.000	6192.000	69355.000	619254.000
0.015	6550.000	10080.000	1000.000	68623.000	6359.000	70810.000	635928.000
0.015	6650.000	10240.000	1000.000	68834.000	6387.000	71055.000	638810.000
0.013	6750.000	10400.000	1000.000	77620.000	7168.000	79956.000	716874.000
0.013	6850.000	10560.000	1000.000	79879.000	7374.000	82245.000	737424.000
0.012	6950.000	10720.000	1000.000	82280.000	7664.000	84643.000	766469.000
0.012	7050.000	10880.000	1000.000	81373.000	7491.000	83719.000	749156.000
0.011	7150.000	11040.000	1000.000	90559.000	8336.000	93021.000	833659.000
0.011	7250.000	11200.000	1000.000	91680.000	8490.000	94108.000	849052.000
0.011	7350.000	11360.000	1000.000	91053.000	8413.000	93492.000	841410.000
0.011	7450.000	11520.000	1000.000	93939.000	8693.000	96448.000	869379.000
0.010	7550.000	11680.000	1000.000	103202.000	9520.000	105721.000	952046.000
0.010	7650.000	11840.000	1000.000	98013.000	9063.000	100549.000	906378.000
0.009	7750.000	12000.000	1000.000	105897.000	9829.000	108578.000	983010.000
0.010	7850.000	12160.000	1000.000	104303.000	9602.000	106845.000	960246.000
0.009	7950.000	12320.000	1000.000	115438.000	10656.000	118221.000	1065651.000
0.009	8050.000	12480.000	1000.000	114377.000	10562.000	117072.000	1056229.000
0.009	8150.000	12640.000	1000.000	113851.000	10535.000	116514.000	1053544.000
0.008	8250.000	12800.000	1000.000	118742.000	11024.000	121466.000	1102432.000
0.008	8350.000	12960.000	1000.000	126027.000	11637.000	128772.000	1163780.000
0.008	8450.000	13120.000	1000.000	127287.000	11685.000	130084.000	1168540.000
0.007	8550.000	13280.000	1000.000	141692.000	13102.000	144732.000	1310328.000
0.008	8650.000	13440.000	1000.000	133103.000	12231.000	135978.000	1223186.000
0.008	8750.000	13600.000	1000.000	133305.000	12301.000	136056.000	1230211.000
0.007	8850.000	13760.000	1000.000	147253.000	13554.000	150303.000	1355516.000
0.007	8950.000	13920.000	1000.000	150504.000	13858.000	153514.000	1385884.000
0.007	9050.000	14080.000	1000.000	144450.000	13376.000	147388.000	1337682.000
0.007	9150.000	14240.000	1000.000	143093.000	13200.000	146003.000	1320078.000
0.007	9250.000	14400.000	1000.000	152137.000	14020.000	155569.000	1402087.000
0.006	9350.000	14560.000	1000.000	158517.000	14680.000	162781.000	1468044.000
0.007	9450.000	14720.000	1000.000	149017.000	13827.000	153318.000	1382799.000
