Error,Time,Mean P,P1,P2,P3,P4,P5
0.0031748935193077104,850.0,0.14059933372582079,0.14513835769994024,0.1334041780461058,0.13589708520559785,0.15060473725459259,0.13795231042286746
0.002941117005904362,950.0,0.13824418934728924,0.14246677120245718,0.12944845307324543,0.14623411764751318,0.13855224538887673,0.1345193594243538
0.0028757860874584606,1050.0,0.12770430766816038,0.11808843466724411,0.12561340132031137,0.1353321376816597,0.13075948527870856,0.128728079392878
0.0022189320089195676,1150.0,0.1178447882600259,0.12467152504869815,0.11631636348843792,0.12105813874269211,0.11236769799571901,0.11481021602458229
0.0017017306323415156,1250.0,0.1070612364714233,0.11042317574209978,0.1087681127406177,0.10060438756490159,0.1084789466422884,0.107031559667209
0.001994190959081236,1350.0,0.10263526651994363,0.10277480134968525,0.10588533332063513,0.1079482017211742,0.09708834068196856,0.09947965552625503
0.002044246721181514,1450.0,0.09582759705241287,0.09126041984639627,0.09085601659918538,0.09676313949964524,0.10037443683869615,0.09988397247814136
0.0011110017297792033,1550.0,0.08989899502243386,0.08698357311238873,0.09025579382567565,0.09289971429617556,0.08781281076408816,0.09154308311384117
0.0012088548528936761,1650.0,0.07968151495513874,0.08009100983603669,0.0758250825922694,0.08334939103490166,0.07897559514951293,0.08016649616297306
0.0016562333861929934,1750.0,0.0771855168739544,0.07602313569510857,0.07957959117365034,0.07295319283019501,0.07512458262117508,0.08224708204964301
0.0017183385998980293,1850.0,0.07384643285396661,0.07473362966743294,0.07043699782527481,0.07629402541103937,0.06937549159557446,0.07839201977051147
0.0020385640300005594,1950.0,0.06751041437535481,0.07322680739693681,0.06665987811265689,0.06701835313298482,0.06085657487243033,0.06979045836176516
0.0013477829794195486,2050.0,0.06853278735623722,0.06965167377803849,0.06537731091547659,0.06629775288839884,0.06832310670382043,0.07301409249545175
0.0031925928285093446,2150.0,0.06277703971404472,0.07222503533978944,0.06147658890858046,0.06767367323581215,0.05486843123637741,0.05764146984966412
0.0016284263374553001,2250.0,0.058789102920887945,0.06382322941583454,0.058392817231650775,0.053859540334263045,0.06019845831500647,0.057671469307684936
0.00189038137071315,2350.0,0.05579373356852346,0.05012390997211285,0.057617499958657156,0.05514329423565081,0.06161027969460847,0.05447368398158805
0.001469112533324589,2450.0,0.05225929221292606,0.04757520691785247,0.05312839132027654,0.051856017418742135,0.0519798717847926,0.05675697362296651
0.0012818721728254903,2550.0,0.049134666469106594,0.04973188662479017,0.047836389602047925,0.052674793046901584,0.04504501210304582,0.050385250968747484
0.0010034381155367188,2650.0,0.047382873740560064,0.04440666632821348,0.048046601365437334,0.05041829243684152,0.04619547174707062,0.047847336825237376
0.0010645706271627594,2750.0,0.041640841414609504,0.04413640582517022,0.040609339458226416,0.041393311149565,0.04373193893720934,0.03833321170287655
0.0014288105798091037,2850.0,0.04263351847327213,0.03977950682263725,0.03972699158714456,0.04448654602081206,0.04202127706021212,0.04715327087555468
0.001432166631855873,2950.0,0.04079878440090432,0.03609538154316113,0.040400009405918536,0.04118427870411791,0.04508959190346038,0.04122466044786363
0.00045054674360566285,3050.0,0.03754080107496928,0.0377620448115861,0.036079292247770886,0.037462139681020516,0.038906988934679816,0.037493539699789094
0.0009139092574665075,3150.0,0.036626381641981655,0.0378553888803033,0.03382515565531643,0.038505139566641644,0.03784616746506201,0.03510005664258488
0.001403409946266524,3250.0,0.03236399132830091,0.03769266747878599,0.03247374671921171,0.03101950308633397,0.030948097835694098,0.029685941521478784
0.0005110535821100593,3350.0,0.032553711892773195,0.030950556017350448,0.034137097434241294,0.03254359356677714,0.032298704657278014,0.03283860778821907
0.0005817587955963852,3450.0,0.03208564916889743,0.03407325779403545,0.03255560455601653,0.03172238285200673,0.030669436656602066,0.03140756398582636
0.0006270706476388952,3550.0,0.03032215571808905,0.030581827605023492,0.028619513505143503,0.03137151659515459,0.029155268853717116,0.03188265203140656
0.0007350974924790255,3650.0,0.028521345987007805,0.0284715472721244,0.030096502817518307,0.0287941083764421,0.02580119409485267,0.029443377374101555
0.0007662161191266184,3750.0,0.028181718980460967,0.028680084892225975,0.02981548950764422,0.026486035105770123,0.02967427890405422,0.026252706492610287
0.0007110709218007276,3850.0,0.02658481097664566,0.02512951979001379,0.026807233805810817,0.029063605918858672,0.02667756476208991,0.02524613060645513
0.001816781904803662,3950.0,0.02518455465545712,0.022446960553951175,0.030852280933414192,0.028166618755536815,0.022113025882396258,0.022343887151987152
0.0011096328081830692,4050.0,0.023076988846170644,0.0206447351535852,0.021993964226426205,0.025412646302753174,0.02128081409054986,0.026052784457538773
0.0004840839922398956,4150.0,0.020849166990205698,0.020393562262558958,0.022190834216333718,0.019325776813856114,0.021446478190020293,0.02088918346825941
0.0021887723590211755,4250.0,0.021755918965656894,0.027585347084670694,0.019276297733036143,0.021503501438134086,0.025248211794233876,0.015166236778209682
0.0009750657786209287,4350.0,0.02131906147976636,0.023452457675613873,0.021347376513584204,0.022584385628360928,0.02147497598253542,0.01773611159873736
0.0008618083722158243,4450.0,0.020110352874917792,0.021471083121475054,0.01954447561921995,0.0225495494109403,0.01936029166996909,0.017626364552984584
0.0008172619296103596,4550.0,0.017526625995221593,0.01612523641284526,0.01663020645789774,0.020712239392519833,0.017238687872486228,0.01692675984035891
0.0005038474832812601,4650.0,0.014480239202856682,0.014130605582529182,0.014242678371351113,0.01637952296159346,0.013360244692091872,0.01428814440671778
0.00022130436081789406,4750.0,0.016724979004889482,0.016816033189492485,0.016939080740715543,0.016189361131591414,0.016287064827469024,0.017393355135178933
