Error,Time,Mean P,P1,P2,P3,P4,P5
0.006948452586187981,850.0,0.2489201961354071,0.2652024646398593,0.26008357132240795,0.2518017928182803,0.22641790100553807,0.2410952508909499
0.010273235470105474,950.0,0.26010842638974563,0.2400055460553681,0.2683766233766234,0.2943426055160808,0.2592877616801062,0.23852959532054968
0.012149327765236676,1050.0,0.25102304902474654,0.287176857180846,0.2346888483387419,0.23225668484384895,0.2278525732313827,0.27314028152891306
0.007749171317942896,1150.0,0.21446582625883667,0.1960447069448437,0.23912709037011864,0.22426745682559637,0.20265440446093433,0.21023547269269038
0.00676484276191148,1250.0,0.21522748731579097,0.21888909620928182,0.1922230810393008,0.216240562128491,0.2143018536002776,0.23448284360160374
0.0034437010772020334,1350.0,0.1929535694259812,0.19637079632157162,0.18095251320220615,0.18980749033292185,0.19999868519230707,0.19763836208089924
0.006988109728815276,1450.0,0.1911302167790649,0.21623209696622453,0.17820617593309196,0.1952958674950376,0.17917489861067135,0.18674204489029902
0.009665186179769227,1550.0,0.16722992396596725,0.13706651501594333,0.15255929634710463,0.1756739608595116,0.18320680226401526,0.1876430453432615
0.0049067373867777665,1650.0,0.16581554316960706,0.18511559593589497,0.16089328547466525,0.15925948425113143,0.16427417834217364,0.15953517184417015
0.0058902253980807045,1750.0,0.14891978523971255,0.1597685921215333,0.1427538964591991,0.1342619857613937,0.16560295366961747,0.14221149818681922
0.005398144594858631,1850.0,0.14254710713696866,0.131834656788679,0.14569584441899794,0.14080617506741705,0.16154880438431155,0.13285005502543779
0.004951380044322757,1950.0,0.12964163465796893,0.12452569095641144,0.13740307459164927,0.13927142250806968,0.1126449792321816,0.1343630060015327
0.0060867820084780765,2050.0,0.13007377787380353,0.13970281217731806,0.13394274084745375,0.10949159860327581,0.14322243452849276,0.12400930321247729
0.008452692435105501,2150.0,0.12173910981356117,0.15268315586163092,0.11439341493963562,0.1241708014960402,0.11475618085165208,0.10269199591884705
0.0035853622757671746,2250.0,0.11479149391552004,0.11916538121049919,0.10590692039146582,0.12609619615153309,0.1134136809001836,0.10937529092391851
0.003887536883553642,2350.0,0.10156080682149422,0.11289144409169381,0.09319817847074881,0.1067650855786449,0.09281288723667906,0.1021364387297045
0.003984562796867708,2450.0,0.10526775452243686,0.09677283523613557,0.11993088618427823,0.10664487440364714,0.10152010069875796,0.10147007608936542
0.006289285470190354,2550.0,0.10079994344782098,0.08662465568859873,0.10850288970881662,0.09073982691342769,0.1211690861911775,0.09696325873708435
0.0014980433571367565,2650.0,0.08816200071107025,0.0917694184771663,0.08392499571557534,0.09041375178879549,0.08541044036203453,0.08929139721177967
0.0038840186072358865,2750.0,0.0822107796240379,0.09053242923928852,0.08245733777539112,0.08938279710368338,0.07968324069981626,0.06899809330201025
